route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,delay,total_distance,total_time,avg_speed,avg_acceleration,shape_id,road_grade,stop_density,has_station,dist_to_station,time_at_station
14,135547:300795,ARTHUR to Airport,City Hall Terminal,Thunder Bay Airport,06:10:00,06:27:00,0 min,10.228,17.0,22.242580645161283,420.9238709677418,3145,-2.134,3.0308955807587017,-,0.0,-
14,135498:301236,ARTHUR to Jumbo Gardens,Thunder Bay Airport,City Hall Terminal,06:27:00,06:39:00,0.0 min,6.277,12.0,20.220928571428576,386.1553469387741,3288,-2.061,2.548988370240561,City Hall Terminal,6.277,06:39:00
14,135563:304329,ARTHUR to Airport,City Hall Terminal,Thunder Bay Airport,07:00:00,07:23:00,21.0 min,10.228,23.0,19.225806451612897,570.6501645819616,3145,-2.134,3.0308955807587017,-,0.0,-
14,135500:299532,ARTHUR to Jumbo Gardens,Thunder Bay Airport,City Hall Terminal,07:27:00,07:41:00,4.0 min,6.277,14.0,19.23783333333332,557.5524444444462,3288,-2.061,2.548988370240561,City Hall Terminal,6.277,07:41:00
14,135577:304221,ARTHUR to Airport,City Hall Terminal,Thunder Bay Airport,08:00:00,08:23:00,19.0 min,10.228,23.0,19.22580645161291,570.6501645819643,3145,-2.134,3.0308955807587017,-,0.0,-
14,135502:300903,ARTHUR to Jumbo Gardens,Thunder Bay Airport,City Hall Terminal,08:27:00,08:41:00,4.0 min,6.277,14.0,19.23783333333332,557.552444444449,3288,-2.061,2.548988370240561,City Hall Terminal,6.277,08:41:00
14,135591:304197,ARTHUR to Airport,City Hall Terminal,Thunder Bay Airport,09:00:00,09:23:00,19.0 min,10.228,23.0,19.22580645161291,570.6501645819643,3145,-2.134,3.0308955807587017,-,0.0,-
14,135504:300921,ARTHUR to Jumbo Gardens,Thunder Bay Airport,City Hall Terminal,09:27:00,09:41:00,4.0 min,6.277,14.0,19.23783333333332,557.552444444449,3288,-2.061,2.548988370240561,City Hall Terminal,6.277,09:41:00
14,134762:303919,ARTHUR to Airport,City Hall Terminal,Thunder Bay Airport,10:00:00,10:23:00,19.0 min,10.228,23.0,19.22580645161291,570.6501645819643,3145,-2.134,3.0308955807587017,-,0.0,-
14,134746:300212,ARTHUR to Jumbo Gardens,Thunder Bay Airport,City Hall Terminal,10:27:00,10:41:00,4.0 min,6.277,14.0,19.23783333333332,557.552444444449,3288,-2.061,2.548988370240561,City Hall Terminal,6.277,10:41:00
14,134764:301362,ARTHUR to Airport,City Hall Terminal,Thunder Bay Airport,11:00:00,11:25:00,19.0 min,10.228,25.0,19.01419354838709,709.0553258722883,3145,-2.134,3.0308955807587017,-,0.0,-
