,134506:304992,134507:305939,134508:304683,134509:305654,134510:304767,134511:305279,134512:305831,134513:304966,134514:304934,134515:306020,134516:305399,134517:304729,134518:305382,134519:305787,134520:304717,134521:304696,134522:305741,134523:305027,134524:304677,134525:304746,134526:304850,134527:305634,134528:304774
Christie & McIntosh,6:30 AM,7:10 AM,7:50 AM,8:30 AM,9:10 AM,9:50 AM,10:25 AM,10:55 AM,11:25 AM,11:55 AM,12:25 PM,12:55 PM,1:25 PM,1:55 PM,2:25 PM,2:55 PM,3:25 PM,3:55 PM,4:25 PM,4:55 PM,5:25 PM,5:55 PM,6:35 PM
Christie & McTavish,6:33 AM,7:13 AM,7:53 AM,8:33 AM,9:13 AM,9:53 AM,10:28 AM,10:58 AM,11:28 AM,11:58 AM,12:28 PM,12:58 PM,1:28 PM,1:58 PM,2:28 PM,2:58 PM,3:28 PM,3:58 PM,4:28 PM,4:58 PM,5:28 PM,5:58 PM,6:38 PM
Connolly & McLaughlin,6:33 AM,7:13 AM,7:53 AM,8:33 AM,9:13 AM,9:53 AM,10:28 AM,10:58 AM,11:28 AM,11:58 AM,12:28 PM,12:58 PM,1:28 PM,1:58 PM,2:28 PM,2:58 PM,3:28 PM,3:58 PM,4:28 PM,4:58 PM,5:28 PM,5:58 PM,6:38 PM
McLeod & Pacific,6:34 AM,7:14 AM,7:54 AM,8:34 AM,9:14 AM,9:54 AM,10:29 AM,10:59 AM,11:29 AM,11:59 AM,12:29 PM,12:59 PM,1:29 PM,1:59 PM,2:29 PM,2:59 PM,3:29 PM,3:59 PM,4:29 PM,4:59 PM,5:29 PM,5:59 PM,6:39 PM
Pacific & McIntosh,6:34 AM,7:14 AM,7:54 AM,8:34 AM,9:14 AM,9:54 AM,10:29 AM,10:59 AM,11:29 AM,11:59 AM,12:29 PM,12:59 PM,1:29 PM,1:59 PM,2:29 PM,2:59 PM,3:29 PM,3:59 PM,4:29 PM,4:59 PM,5:29 PM,5:59 PM,6:39 PM
Simpson & Pacific,6:35 AM,7:15 AM,7:55 AM,8:35 AM,9:15 AM,9:55 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:40 PM
Simpson & Atlantic,6:35 AM,7:15 AM,7:55 AM,8:35 AM,9:15 AM,9:55 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:40 PM
Simpson & Southern,6:35 AM,7:15 AM,7:55 AM,8:35 AM,9:15 AM,9:55 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:40 PM
Ft. Wm. Rd. & Isabel,6:36 AM,7:16 AM,7:56 AM,8:36 AM,9:16 AM,9:56 AM,10:31 AM,11:01 AM,11:31 AM,12:01 PM,12:31 PM,1:01 PM,1:31 PM,2:01 PM,2:31 PM,3:01 PM,3:31 PM,4:01 PM,4:31 PM,5:01 PM,5:31 PM,6:01 PM,6:41 PM
Intercity Shopping Centre,6:39 AM,7:19 AM,7:59 AM,8:39 AM,9:19 AM,9:59 AM,10:34 AM,11:04 AM,11:34 AM,12:04 PM,12:34 PM,1:04 PM,1:34 PM,2:04 PM,2:34 PM,3:04 PM,3:34 PM,4:04 PM,4:34 PM,5:04 PM,5:34 PM,6:04 PM,6:44 PM
Ft. Wm. Rd. & Northern,6:40 AM,7:20 AM,8:00 AM,8:40 AM,9:20 AM,10:00 AM,10:35 AM,11:05 AM,11:35 AM,12:05 PM,12:35 PM,1:05 PM,1:35 PM,2:05 PM,2:35 PM,3:05 PM,3:35 PM,4:05 PM,4:35 PM,5:05 PM,5:35 PM,6:05 PM,6:45 PM
Northern & CLE,6:41 AM,7:21 AM,8:01 AM,8:41 AM,9:21 AM,10:01 AM,10:36 AM,11:06 AM,11:36 AM,12:06 PM,12:36 PM,1:06 PM,1:36 PM,2:06 PM,2:36 PM,3:06 PM,3:36 PM,4:06 PM,4:36 PM,5:06 PM,5:36 PM,6:06 PM,6:46 PM
Northern & Brodie,6:42 AM,7:22 AM,8:02 AM,8:42 AM,9:22 AM,10:02 AM,10:37 AM,11:07 AM,11:37 AM,12:07 PM,12:37 PM,1:07 PM,1:37 PM,2:07 PM,2:37 PM,3:07 PM,3:37 PM,4:07 PM,4:37 PM,5:07 PM,5:37 PM,6:07 PM,6:47 PM
Northern & Syndicate,6:42 AM,7:22 AM,8:02 AM,8:42 AM,9:22 AM,10:02 AM,10:37 AM,11:07 AM,11:37 AM,12:07 PM,12:37 PM,1:07 PM,1:37 PM,2:07 PM,2:37 PM,3:07 PM,3:37 PM,4:07 PM,4:37 PM,5:07 PM,5:37 PM,6:07 PM,6:47 PM
Vickers & Weigand,6:43 AM,7:23 AM,8:03 AM,8:43 AM,9:23 AM,10:03 AM,10:38 AM,11:08 AM,11:38 AM,12:08 PM,12:38 PM,1:08 PM,1:38 PM,2:08 PM,2:38 PM,3:08 PM,3:38 PM,4:08 PM,4:38 PM,5:08 PM,5:38 PM,6:08 PM,6:48 PM
Vickers & Cameron,6:44 AM,7:24 AM,8:04 AM,8:44 AM,9:24 AM,10:04 AM,10:39 AM,11:09 AM,11:39 AM,12:09 PM,12:39 PM,1:09 PM,1:39 PM,2:09 PM,2:39 PM,3:09 PM,3:39 PM,4:09 PM,4:39 PM,5:09 PM,5:39 PM,6:09 PM,6:49 PM
Vickers & Cumming,6:45 AM,7:25 AM,8:05 AM,8:45 AM,9:25 AM,10:05 AM,10:40 AM,11:10 AM,11:40 AM,12:10 PM,12:40 PM,1:10 PM,1:40 PM,2:10 PM,2:40 PM,3:10 PM,3:40 PM,4:10 PM,4:40 PM,5:10 PM,5:40 PM,6:10 PM,6:50 PM
Vickers & Victoria,6:46 AM,7:26 AM,8:06 AM,8:46 AM,9:26 AM,10:06 AM,10:41 AM,11:11 AM,11:41 AM,12:11 PM,12:41 PM,1:11 PM,1:41 PM,2:11 PM,2:41 PM,3:11 PM,3:41 PM,4:11 PM,4:41 PM,5:11 PM,5:41 PM,6:11 PM,6:51 PM
Donald & Archibald,6:47 AM,7:27 AM,8:07 AM,8:47 AM,9:27 AM,10:07 AM,10:42 AM,11:12 AM,11:42 AM,12:12 PM,12:42 PM,1:12 PM,1:42 PM,2:12 PM,2:42 PM,3:12 PM,3:42 PM,4:12 PM,4:42 PM,5:12 PM,5:42 PM,6:12 PM,6:52 PM
City Hall Terminal,6:49 AM,7:29 AM,8:09 AM,8:49 AM,9:29 AM,10:09 AM,10:44 AM,11:14 AM,11:44 AM,12:14 PM,12:44 PM,1:14 PM,1:44 PM,2:14 PM,2:44 PM,3:14 PM,3:44 PM,4:14 PM,4:44 PM,5:14 PM,5:44 PM,6:14 PM,6:54 PM
