Arthur & 2000s Block,8:24 AM,9:00 AM,9:04 AM,9:40 AM,9:44 AM,10:20 AM,10:24 AM,11:00 AM,11:04 AM,11:40 AM,11:47 AM,12:29 PM,12:32 PM,1:14 PM,1:17 PM,1:59 PM,2:02 PM,2:44 PM,2:47 PM,3:29 PM,3:32 PM,4:14 PM,4:17 PM,4:59 PM,5:02 PM,5:43 PM,5:45 PM,6:21 PM,6:29 PM,7:05 PM,7:14 PM,7:50 PM,7:59 PM,8:35 PM,8:44 PM,9:20 PM,9:29 PM,10:05 PM,10:14 PM,10:50 PM
Arthur & Edward,8:25 AM,8:59 AM,9:05 AM,9:39 AM,9:45 AM,10:19 AM,10:25 AM,10:59 AM,11:05 AM,11:39 AM,11:48 AM,12:28 PM,12:33 PM,1:13 PM,1:18 PM,1:58 PM,2:03 PM,2:43 PM,2:48 PM,3:28 PM,3:33 PM,4:13 PM,4:18 PM,4:58 PM,5:03 PM,5:42 PM,5:46 PM,6:20 PM,6:30 PM,7:04 PM,7:15 PM,7:49 PM,8:00 PM,8:34 PM,8:45 PM,9:19 PM,9:30 PM,10:04 PM,10:15 PM,10:49 PM
Edward & Donald,8:25 AM,8:59 AM,9:05 AM,9:39 AM,9:45 AM,10:19 AM,10:25 AM,10:59 AM,11:05 AM,11:39 AM,11:48 AM,12:28 PM,12:33 PM,1:13 PM,1:18 PM,1:58 PM,2:03 PM,2:43 PM,2:48 PM,3:28 PM,3:33 PM,4:13 PM,4:18 PM,4:58 PM,5:03 PM,5:42 PM,5:46 PM,6:20 PM,6:30 PM,7:04 PM,7:15 PM,7:49 PM,8:00 PM,8:34 PM,8:45 PM,9:19 PM,9:30 PM,10:04 PM,10:15 PM,10:49 PM
Victoria & 200s Block,8:26 AM,8:58 AM,9:06 AM,9:38 AM,9:46 AM,10:18 AM,10:26 AM,10:58 AM,11:06 AM,11:38 AM,11:49 AM,12:27 PM,12:34 PM,1:12 PM,1:19 PM,1:57 PM,2:04 PM,2:42 PM,2:49 PM,3:27 PM,3:34 PM,4:12 PM,4:19 PM,4:57 PM,5:04 PM,5:41 PM,5:47 PM,6:19 PM,6:31 PM,7:03 PM,7:16 PM,7:48 PM,8:01 PM,8:33 PM,8:46 PM,9:18 PM,9:31 PM,10:03 PM,10:16 PM,10:48 PM
Leland & Donald,8:26 AM,8:58 AM,9:06 AM,9:38 AM,9:46 AM,10:18 AM,10:26 AM,10:58 AM,11:06 AM,11:38 AM,11:50 AM,12:26 PM,12:35 PM,1:11 PM,1:20 PM,1:56 PM,2:05 PM,2:41 PM,2:50 PM,3:26 PM,3:35 PM,4:11 PM,4:20 PM,4:56 PM,5:05 PM,5:40 PM,5:47 PM,6:19 PM,6:31 PM,7:03 PM,7:16 PM,7:48 PM,8:01 PM,8:33 PM,8:46 PM,9:18 PM,9:31 PM,10:03 PM,10:16 PM,10:48 PM
Donald & 100s Block,8:27 AM,8:57 AM,9:07 AM,9:37 AM,9:47 AM,10:17 AM,10:27 AM,10:57 AM,11:07 AM,11:37 AM,11:50 AM,12:26 PM,12:35 PM,1:11 PM,1:20 PM,1:56 PM,2:05 PM,2:41 PM,2:50 PM,3:26 PM,3:35 PM,4:11 PM,4:20 PM,4:56 PM,5:05 PM,5:40 PM,5:48 PM,6:18 PM,6:32 PM,7:02 PM,7:17 PM,7:47 PM,8:02 PM,8:32 PM,8:47 PM,9:17 PM,9:32 PM,10:02 PM,10:17 PM,10:47 PM
Edward & Donald,8:27 AM,8:57 AM,9:07 AM,9:37 AM,9:47 AM,10:17 AM,10:27 AM,10:57 AM,11:07 AM,11:37 AM,11:51 AM,12:25 PM,12:36 PM,1:10 PM,1:21 PM,1:55 PM,2:06 PM,2:40 PM,2:51 PM,3:25 PM,3:36 PM,4:10 PM,4:21 PM,4:55 PM,5:06 PM,5:39 PM,5:48 PM,6:18 PM,6:32 PM,7:02 PM,7:17 PM,7:47 PM,8:02 PM,8:32 PM,8:47 PM,9:17 PM,9:32 PM,10:02 PM,10:17 PM,10:47 PM
Arthur & Brown,8:28 AM,8:56 AM,9:08 AM,9:36 AM,9:48 AM,10:16 AM,10:28 AM,10:56 AM,11:08 AM,11:36 AM,11:52 AM,12:24 PM,12:37 PM,1:09 PM,1:22 PM,1:54 PM,2:07 PM,2:39 PM,2:52 PM,3:24 PM,3:37 PM,4:09 PM,4:22 PM,4:54 PM,5:07 PM,5:38 PM,5:49 PM,6:17 PM,6:33 PM,7:01 PM,7:18 PM,7:46 PM,8:03 PM,8:31 PM,8:48 PM,9:16 PM,9:33 PM,10:01 PM,10:18 PM,10:46 PM
Arthur & Leland,8:28 AM,8:56 AM,9:08 AM,9:36 AM,9:48 AM,10:16 AM,10:28 AM,10:56 AM,11:08 AM,11:36 AM,11:52 AM,12:24 PM,12:37 PM,1:09 PM,1:22 PM,1:54 PM,2:07 PM,2:39 PM,2:52 PM,3:24 PM,3:37 PM,4:09 PM,4:22 PM,4:54 PM,5:07 PM,5:38 PM,5:49 PM,6:17 PM,6:33 PM,7:01 PM,7:18 PM,7:46 PM,8:03 PM,8:31 PM,8:48 PM,9:16 PM,9:33 PM,10:01 PM,10:18 PM,10:46 PM
Arthur & Madison,8:29 AM,8:55 AM,9:09 AM,9:35 AM,9:49 AM,10:15 AM,10:29 AM,10:55 AM,11:09 AM,11:35 AM,11:53 AM,12:23 PM,12:38 PM,1:08 PM,1:23 PM,1:53 PM,2:08 PM,2:38 PM,2:53 PM,3:23 PM,3:38 PM,4:08 PM,4:23 PM,4:53 PM,5:08 PM,5:37 PM,5:50 PM,6:16 PM,6:34 PM,7:00 PM,7:19 PM,7:45 PM,8:04 PM,8:30 PM,8:49 PM,9:15 PM,9:34 PM,10:00 PM,10:19 PM,10:45 PM
