20th Side Rd. & Herrick,7:36 AM,8:29 AM,9:13 AM,12:19 PM,1:18 PM,3:49 PM,4:48 PM,5:33 PM
20th Side Rd. & Arthur,7:34 AM,8:31 AM,9:15 AM,12:17 PM,1:20 PM,3:47 PM,4:50 PM,5:35 PM
Arthur & Community Centre,7:34 AM,8:31 AM,9:15 AM,12:17 PM,1:20 PM,3:47 PM,4:50 PM,5:35 PM
Arthur & Garden,7:33 AM,8:32 AM,9:16 AM,12:16 PM,1:21 PM,3:46 PM,4:51 PM,5:36 PM
Arthur & 1600s Block,7:33 AM,8:32 AM,9:16 AM,12:16 PM,1:21 PM,3:46 PM,4:51 PM,5:36 PM
Arthur & Vanguard,7:32 AM,8:33 AM,9:17 AM,12:15 PM,1:22 PM,3:45 PM,4:52 PM,5:37 PM
Arthur & 15th Side Rd.,7:32 AM,8:33 AM,9:17 AM,12:15 PM,1:22 PM,3:45 PM,4:52 PM,5:37 PM
Arthur & Brunetti,7:31 AM,8:34 AM,9:18 AM,12:14 PM,1:23 PM,3:44 PM,4:53 PM,5:38 PM
Arthur & 1300s Block,7:31 AM,8:34 AM,9:18 AM,12:14 PM,1:23 PM,3:44 PM,4:53 PM,5:38 PM
Arthur & Sifton,7:31 AM,8:34 AM,9:18 AM,12:14 PM,1:23 PM,3:44 PM,4:53 PM,5:38 PM
Arthur & Willard,7:30 AM,8:35 AM,9:19 AM,12:13 PM,1:24 PM,3:43 PM,4:54 PM,5:39 PM
Arthur & Valhalla Inn,7:29 AM,8:36 AM,9:20 AM,12:12 PM,1:25 PM,3:42 PM,4:55 PM,5:40 PM
Arthur & HWY 61,7:29 AM,8:36 AM,9:20 AM,12:12 PM,1:25 PM,3:42 PM,4:55 PM,5:40 PM
Arthur & Mountdale,7:28 AM,8:37 AM,9:21 AM,12:11 PM,1:26 PM,3:41 PM,4:56 PM,5:41 PM
Arthur & Victoria Inn,7:28 AM,8:37 AM,9:21 AM,12:11 PM,1:26 PM,3:41 PM,4:56 PM,5:41 PM
J aes & Arthur,7:27 AM,8:38 AM,9:22 AM,12:10 PM,1:27 PM,3:40 PM,4:57 PM,5:42 PM
J aes & Mini-Queens Park,7:27 AM,8:38 AM,9:22 AM,12:10 PM,1:27 PM,3:40 PM,4:57 PM,5:42 PM
J aes & Isabella,7:26 AM,8:39 AM,9:23 AM,12:09 PM,1:28 PM,3:39 PM,4:58 PM,5:43 PM
J aes & Walsh,7:25 AM,8:40 AM,9:24 AM,12:08 PM,1:29 PM,3:38 PM,4:59 PM,5:44 PM
J aes & Gordon,7:25 AM,8:40 AM,9:24 AM,12:08 PM,1:29 PM,3:38 PM,4:59 PM,5:44 PM
Mary & Yonge,7:24 AM,8:41 AM,9:25 AM,12:07 PM,1:30 PM,3:37 PM,5:00 PM,5:45 PM
Mary & Heath,7:24 AM,8:41 AM,9:25 AM,12:07 PM,1:30 PM,3:37 PM,5:00 PM,5:45 PM
Mary & Brown,7:24 AM,8:41 AM,9:25 AM,12:07 PM,1:30 PM,3:37 PM,5:00 PM,5:45 PM
Brown & Francis,7:23 AM,8:42 AM,9:26 AM,12:06 PM,1:31 PM,3:36 PM,5:01 PM,5:46 PM
Brown & Frederica,7:23 AM,8:42 AM,9:26 AM,12:06 PM,1:31 PM,3:36 PM,5:01 PM,5:46 PM
Frederica & Brown,7:22 AM,8:43 AM,9:27 AM,12:05 PM,1:32 PM,3:35 PM,5:02 PM,5:47 PM
Frederica & Brown,7:22 AM,,9:27 AM,12:05 PM,1:32 PM,3:35 PM,,
Frederica & Edward,7:22 AM,,9:27 AM,12:05 PM,1:32 PM,3:35 PM,,
Frederica & 100s Block,7:21 AM,,9:28 AM,12:04 PM,1:33 PM,3:34 PM,,
Ford & Frederica,7:21 AM,,9:28 AM,12:04 PM,1:33 PM,3:34 PM,,
Ford & Francis,7:20 AM,,9:29 AM,12:03 PM,1:34 PM,3:33 PM,,
Brock & 200s Block,7:19 AM,,9:30 AM,12:02 PM,1:35 PM,3:32 PM,,
Brock & Tarbutt,7:19 AM,,9:30 AM,12:02 PM,1:35 PM,3:32 PM,,
Brock & 300s Block,7:18 AM,,9:31 AM,12:01 PM,1:36 PM,3:31 PM,,
Brock & Sprague,7:18 AM,,9:31 AM,12:01 PM,1:36 PM,3:31 PM,,
Sprague & Brock,7:18 AM,,9:31 AM,12:01 PM,1:36 PM,3:31 PM,,
Sprague & Empire,7:17 AM,,9:32 AM,12:00 PM,1:37 PM,3:30 PM,,
Sprague & Walsh,7:16 AM,,9:33 AM,11:59 AM,1:38 PM,3:29 PM,,
Walsh & Selkirk,7:16 AM,,9:33 AM,11:59 AM,1:38 PM,3:29 PM,,
Franklin & Moodie,7:15 AM,,9:34 AM,11:58 AM,1:39 PM,3:28 PM,,
Franklin & Isabella,7:14 AM,,9:35 AM,11:57 AM,1:40 PM,3:27 PM,,
Franklin & Ridgeway,7:14 AM,,9:35 AM,11:57 AM,1:40 PM,3:27 PM,,
Franklin & Arthur,7:13 AM,,9:36 AM,11:56 AM,1:41 PM,3:26 PM,,
Franklin & Donald,7:13 AM,,9:36 AM,11:56 AM,1:41 PM,3:26 PM,,
Victoria & Marks,7:12 AM,,9:37 AM,11:55 AM,1:42 PM,3:25 PM,,
Miles & Courthouse,7:11 AM,,9:38 AM,11:54 AM,1:43 PM,3:24 PM,,
May & Miles,7:10 AM,,9:39 AM,11:53 AM,1:44 PM,3:23 PM,,
City Hall Terminal,7:07 AM,,9:42 AM,11:50 AM,1:47 PM,3:20 PM,,
