,132771:304288,132752:300997,132772:304528,132753:300737,132773:304316,132754:300820,132774:304430,132755:299385,132775:303984,132756:301277,132776:304351,132757:299831,132777:304283,132758:299239,132778:304373,132759:299195,132779:303967,132760:301581,132780:303953,132761:301249,132781:304401,132762:299950,132782:303994,132763:300020,132783:304481,132764:300184,132784:304271,132765:300549,132785:303939,132766:300211,132786:304178,132767:300494,132787:304309,132768:299298,132788:303928,132769:299240,132789:303964,132770:301036
Waterfront Terminal,8:45 AM,9:17 AM,9:25 AM,9:57 AM,10:05 AM,10:37 AM,10:45 AM,11:17 AM,11:25 AM,11:57 AM,12:10 PM,12:42 PM,12:55 PM,1:27 PM,1:40 PM,2:12 PM,2:25 PM,2:57 PM,3:10 PM,3:42 PM,3:55 PM,4:27 PM,4:40 PM,5:12 PM,5:25 PM,5:57 PM,6:08 PM,6:40 PM,6:55 PM,7:27 PM,7:38 PM,8:10 PM,8:23 PM,8:55 PM,9:08 PM,9:40 PM,9:48 PM,10:20 PM
Camelot & Court,8:45 AM,9:17 AM,9:25 AM,9:57 AM,10:05 AM,10:37 AM,10:45 AM,11:17 AM,11:25 AM,11:57 AM,12:10 PM,12:42 PM,12:55 PM,1:27 PM,1:40 PM,2:12 PM,2:25 PM,2:57 PM,3:10 PM,3:42 PM,3:55 PM,4:27 PM,4:40 PM,5:12 PM,5:25 PM,5:57 PM,6:08 PM,6:40 PM,6:55 PM,7:27 PM,7:38 PM,8:10 PM,8:23 PM,8:55 PM,9:08 PM,9:40 PM,9:48 PM,10:20 PM
Court & Tupper,8:45 AM,9:17 AM,9:25 AM,9:57 AM,10:05 AM,10:37 AM,10:45 AM,11:17 AM,11:25 AM,11:57 AM,12:10 PM,12:42 PM,12:55 PM,1:27 PM,1:40 PM,2:12 PM,2:25 PM,2:57 PM,3:10 PM,3:42 PM,3:55 PM,4:27 PM,4:40 PM,5:12 PM,5:25 PM,5:57 PM,6:08 PM,6:40 PM,6:55 PM,7:27 PM,7:38 PM,8:10 PM,8:23 PM,8:55 PM,9:08 PM,9:40 PM,9:48 PM,10:20 PM
Court & River,8:47 AM,9:15 AM,9:27 AM,9:55 AM,10:07 AM,10:35 AM,10:47 AM,11:15 AM,11:27 AM,11:55 AM,12:12 PM,12:40 PM,12:57 PM,1:25 PM,1:42 PM,2:10 PM,2:27 PM,2:55 PM,3:12 PM,3:40 PM,3:57 PM,4:25 PM,4:42 PM,5:10 PM,5:27 PM,5:55 PM,6:10 PM,6:38 PM,6:57 PM,7:25 PM,7:40 PM,8:08 PM,8:25 PM,8:53 PM,9:10 PM,9:38 PM,9:50 PM,10:18 PM
Court & Wolseley,8:47 AM,9:15 AM,9:27 AM,9:55 AM,10:07 AM,10:35 AM,10:47 AM,11:15 AM,11:27 AM,11:55 AM,12:12 PM,12:40 PM,12:57 PM,1:25 PM,1:42 PM,2:10 PM,2:27 PM,2:55 PM,3:12 PM,3:40 PM,3:57 PM,4:25 PM,4:42 PM,5:10 PM,5:27 PM,5:55 PM,6:10 PM,6:38 PM,6:57 PM,7:25 PM,7:40 PM,8:08 PM,8:25 PM,8:53 PM,9:10 PM,9:38 PM,9:50 PM,10:18 PM
Wolseley & Ruttan,8:48 AM,9:14 AM,9:28 AM,9:54 AM,10:08 AM,10:34 AM,10:48 AM,11:14 AM,11:28 AM,11:54 AM,12:13 PM,12:39 PM,12:58 PM,1:24 PM,1:43 PM,2:09 PM,2:28 PM,2:54 PM,3:13 PM,3:39 PM,3:58 PM,4:24 PM,4:43 PM,5:09 PM,5:28 PM,5:54 PM,6:11 PM,6:37 PM,6:58 PM,7:24 PM,7:41 PM,8:07 PM,8:26 PM,8:52 PM,9:11 PM,9:37 PM,9:51 PM,10:17 PM
Wolseley & Farrand,8:48 AM,9:14 AM,9:28 AM,9:54 AM,10:08 AM,10:34 AM,10:48 AM,11:14 AM,11:28 AM,11:54 AM,12:13 PM,12:39 PM,12:58 PM,1:24 PM,1:43 PM,2:09 PM,2:28 PM,2:54 PM,3:13 PM,3:39 PM,3:58 PM,4:24 PM,4:43 PM,5:09 PM,5:28 PM,5:54 PM,6:11 PM,6:37 PM,6:58 PM,7:24 PM,7:41 PM,8:07 PM,8:26 PM,8:52 PM,9:11 PM,9:37 PM,9:51 PM,10:17 PM
Farrand & Meek,8:49 AM,9:13 AM,9:29 AM,9:53 AM,10:09 AM,10:33 AM,10:49 AM,11:13 AM,11:29 AM,11:53 AM,12:14 PM,12:38 PM,12:59 PM,1:23 PM,1:44 PM,2:08 PM,2:29 PM,2:53 PM,3:14 PM,3:38 PM,3:59 PM,4:23 PM,4:44 PM,5:08 PM,5:29 PM,5:53 PM,6:12 PM,6:36 PM,6:59 PM,7:23 PM,7:42 PM,8:06 PM,8:27 PM,8:51 PM,9:12 PM,9:36 PM,9:52 PM,10:16 PM
Farrand & Albany,8:49 AM,9:13 AM,9:29 AM,9:53 AM,10:09 AM,10:33 AM,10:49 AM,11:13 AM,11:29 AM,11:53 AM,12:14 PM,12:38 PM,12:59 PM,1:23 PM,1:44 PM,2:08 PM,2:29 PM,2:53 PM,3:14 PM,3:38 PM,3:59 PM,4:23 PM,4:44 PM,5:08 PM,5:29 PM,5:53 PM,6:12 PM,6:36 PM,6:59 PM,7:23 PM,7:42 PM,8:06 PM,8:27 PM,8:51 PM,9:12 PM,9:36 PM,9:52 PM,10:16 PM
Farrand & Margaret,8:51 AM,9:11 AM,9:31 AM,9:51 AM,10:11 AM,10:31 AM,10:51 AM,11:11 AM,11:31 AM,11:51 AM,12:16 PM,12:36 PM,1:01 PM,1:21 PM,1:46 PM,2:06 PM,2:31 PM,2:51 PM,3:16 PM,3:36 PM,4:01 PM,4:21 PM,4:46 PM,5:06 PM,5:31 PM,5:51 PM,6:14 PM,6:34 PM,7:01 PM,7:21 PM,7:44 PM,8:04 PM,8:29 PM,8:49 PM,9:14 PM,9:34 PM,9:54 PM,10:14 PM
