20th Side Rd. & Otway,7:06 AM,8:30 AM,9:53 AM,12:10 PM,1:35 PM,4:10 PM,5:35 PM
20th Side Rd. & Perozak St.,7:07 AM,8:31 AM,9:54 AM,12:11 PM,1:36 PM,4:11 PM,5:36 PM
20th Side Rd. & Trotter,7:08 AM,8:32 AM,9:55 AM,12:12 PM,1:37 PM,4:12 PM,5:37 PM
20th Side Rd. & Malibu,7:08 AM,8:32 AM,9:55 AM,12:12 PM,1:37 PM,4:12 PM,5:37 PM
20th Side Rd. & Herrick,7:09 AM,8:33 AM,9:56 AM,12:13 PM,1:38 PM,4:13 PM,5:38 PM
20th Side Rd. & Arthur,7:11 AM,8:35 AM,9:58 AM,12:15 PM,1:40 PM,4:15 PM,5:40 PM
Arthur & Community Centre,7:11 AM,8:35 AM,9:58 AM,12:15 PM,1:40 PM,4:15 PM,5:40 PM
Arthur & Garden,7:12 AM,8:36 AM,9:59 AM,12:16 PM,1:41 PM,4:16 PM,5:41 PM
Arthur & 1600s Block,7:12 AM,8:36 AM,9:59 AM,12:16 PM,1:41 PM,4:16 PM,5:41 PM
Arthur & Vanguard,7:13 AM,8:37 AM,10:00 AM,12:17 PM,1:42 PM,4:17 PM,5:42 PM
Arthur & 15th Side Rd.,7:13 AM,8:37 AM,10:00 AM,12:17 PM,1:42 PM,4:17 PM,5:42 PM
Arthur & Brunetti,7:14 AM,8:38 AM,10:01 AM,12:18 PM,1:43 PM,4:18 PM,5:43 PM
Arthur & 1300s Block,7:14 AM,8:38 AM,10:01 AM,12:18 PM,1:43 PM,4:18 PM,5:43 PM
Arthur & Sifton,7:14 AM,8:38 AM,10:01 AM,12:18 PM,1:43 PM,4:18 PM,5:43 PM
Arthur & Willard,7:15 AM,8:39 AM,10:02 AM,12:19 PM,1:44 PM,4:19 PM,5:44 PM
Arthur & Valhalla Inn,7:16 AM,8:40 AM,10:03 AM,12:20 PM,1:45 PM,4:20 PM,5:45 PM
Arthur & HWY 61,7:16 AM,8:40 AM,10:03 AM,12:20 PM,1:45 PM,4:20 PM,5:45 PM
Arthur & Mountdale,7:17 AM,8:41 AM,10:04 AM,12:21 PM,1:46 PM,4:21 PM,5:46 PM
Arthur & Victoria Inn,7:17 AM,8:41 AM,10:04 AM,12:21 PM,1:46 PM,4:21 PM,5:46 PM
James & Arthur,7:18 AM,8:42 AM,10:05 AM,12:22 PM,1:47 PM,4:22 PM,5:47 PM
James & Mini-Queens Park,7:18 AM,8:42 AM,10:05 AM,12:22 PM,1:47 PM,4:22 PM,5:47 PM
James & Isabella,7:19 AM,8:43 AM,10:06 AM,12:23 PM,1:48 PM,4:23 PM,5:48 PM
James & Walsh,7:20 AM,8:44 AM,10:07 AM,12:24 PM,1:49 PM,4:24 PM,5:49 PM
James & Gordon,7:20 AM,8:44 AM,10:07 AM,12:24 PM,1:49 PM,4:24 PM,5:49 PM
Mary & Yonge,7:21 AM,8:45 AM,10:08 AM,12:25 PM,1:50 PM,4:25 PM,5:50 PM
Mary & Heath,7:21 AM,8:45 AM,10:08 AM,12:25 PM,1:50 PM,4:25 PM,5:50 PM
Mary & Brown,7:21 AM,8:45 AM,10:08 AM,12:25 PM,1:50 PM,4:25 PM,5:50 PM
Brown & Francis,7:22 AM,8:46 AM,10:09 AM,12:26 PM,1:51 PM,4:26 PM,5:51 PM
Brown & Frederica,7:22 AM,8:46 AM,10:09 AM,12:26 PM,1:51 PM,4:26 PM,5:51 PM
Frederica & Brown,7:23 AM,8:47 AM,10:10 AM,12:27 PM,1:52 PM,4:27 PM,5:52 PM
