,132861:305303,132842:299972,132845:305971,132846:304732,132863:299439,132847:305564,132830:305782,132848:305075,132831:305035,132832:304714,132849:305905,132850:305595,132833:305410,132851:304840,132834:306009,132835:305587,132852:305968,132853:304697,132836:304994,132854:305630,132837:305489,132855:304728,132838:305947,132856:304777,132839:304735,132840:305676,132860:305467,132841:301207,132862:305445,132865:301304,132864:306038,132866:300797,132857:305351,132867:300574,132858:305025,132843:299861,132859:305114,132844:301308
River & College,8:44 AM,9:16 AM,9:24 AM,10:04 AM,9:56 AM,10:44 AM,10:35 AM,11:24 AM,11:24 AM,12:04 PM,12:09 PM,12:54 PM,12:49 PM,1:39 PM,1:34 PM,2:19 PM,2:24 PM,3:09 PM,3:04 PM,3:54 PM,3:49 PM,4:39 PM,4:34 PM,5:24 PM,5:10 PM,4:48 PM,6:07 PM,6:33 PM,6:52 PM,7:24 PM,7:37 PM,8:09 PM,8:22 PM,8:54 PM,9:07 PM,9:39 PM,9:52 PM,10:24 PM
River & Balsam,8:45 AM,9:15 AM,9:25 AM,10:05 AM,9:55 AM,10:45 AM,10:34 AM,11:25 AM,11:23 AM,12:03 PM,12:10 PM,12:55 PM,12:48 PM,1:40 PM,1:33 PM,2:18 PM,2:25 PM,3:10 PM,3:03 PM,3:55 PM,3:48 PM,4:40 PM,4:33 PM,5:25 PM,5:09 PM,4:49 PM,6:08 PM,6:32 PM,6:53 PM,7:23 PM,7:38 PM,8:08 PM,8:23 PM,8:53 PM,9:08 PM,9:38 PM,9:53 PM,10:23 PM
River & High,8:45 AM,9:15 AM,9:25 AM,10:05 AM,9:55 AM,10:45 AM,10:34 AM,11:25 AM,11:23 AM,12:03 PM,12:10 PM,12:55 PM,12:48 PM,1:40 PM,1:33 PM,2:18 PM,2:25 PM,3:10 PM,3:03 PM,3:55 PM,3:48 PM,4:40 PM,4:33 PM,5:25 PM,5:09 PM,4:49 PM,6:08 PM,6:32 PM,6:53 PM,7:23 PM,7:38 PM,8:08 PM,8:23 PM,8:53 PM,9:08 PM,9:38 PM,9:53 PM,10:23 PM
River & Hill,8:46 AM,9:14 AM,9:26 AM,10:06 AM,9:54 AM,10:46 AM,10:33 AM,11:26 AM,11:22 AM,12:02 PM,12:11 PM,12:56 PM,12:47 PM,1:41 PM,1:32 PM,2:17 PM,2:26 PM,3:11 PM,3:02 PM,3:56 PM,3:47 PM,4:41 PM,4:32 PM,5:26 PM,5:08 PM,4:50 PM,6:09 PM,6:31 PM,6:54 PM,7:22 PM,7:39 PM,8:07 PM,8:24 PM,8:52 PM,9:09 PM,9:37 PM,9:54 PM,10:22 PM
River & Madeline,8:48 AM,9:12 AM,9:28 AM,10:08 AM,9:52 AM,10:48 AM,10:31 AM,11:28 AM,11:20 AM,12:00 PM,12:13 PM,12:58 PM,12:45 PM,1:43 PM,1:30 PM,2:15 PM,2:28 PM,3:13 PM,3:00 PM,3:58 PM,3:45 PM,4:43 PM,4:30 PM,5:28 PM,5:06 PM,4:52 PM,6:11 PM,6:29 PM,6:56 PM,7:20 PM,7:41 PM,8:05 PM,8:26 PM,8:50 PM,9:11 PM,9:35 PM,9:56 PM,10:20 PM
River & Rockwood,8:48 AM,9:12 AM,9:28 AM,10:08 AM,9:52 AM,10:48 AM,10:31 AM,11:28 AM,11:20 AM,12:00 PM,12:13 PM,12:58 PM,12:45 PM,1:43 PM,1:30 PM,2:15 PM,2:28 PM,3:13 PM,3:00 PM,3:58 PM,3:45 PM,4:43 PM,4:30 PM,5:28 PM,5:06 PM,4:52 PM,6:11 PM,6:29 PM,6:56 PM,7:20 PM,7:41 PM,8:05 PM,8:26 PM,8:50 PM,9:11 PM,9:35 PM,9:56 PM,10:20 PM
River & Junot,8:49 AM,9:11 AM,9:29 AM,10:09 AM,9:51 AM,10:49 AM,10:30 AM,11:29 AM,11:19 AM,11:59 AM,12:14 PM,12:59 PM,12:44 PM,1:44 PM,1:29 PM,2:14 PM,2:29 PM,3:14 PM,2:59 PM,3:59 PM,3:44 PM,4:44 PM,4:29 PM,5:29 PM,5:05 PM,4:53 PM,6:12 PM,6:28 PM,6:57 PM,7:19 PM,7:42 PM,8:04 PM,8:27 PM,8:49 PM,9:12 PM,9:34 PM,9:57 PM,10:19 PM
Junot & McComber,8:49 AM,9:11 AM,9:29 AM,10:09 AM,9:51 AM,10:49 AM,10:30 AM,11:29 AM,11:19 AM,11:59 AM,12:14 PM,12:59 PM,12:44 PM,1:44 PM,1:29 PM,2:14 PM,2:29 PM,3:14 PM,2:59 PM,3:59 PM,3:44 PM,4:44 PM,4:29 PM,5:29 PM,5:05 PM,4:53 PM,6:12 PM,6:28 PM,6:57 PM,7:19 PM,7:42 PM,8:04 PM,8:27 PM,8:49 PM,9:12 PM,9:34 PM,9:57 PM,10:19 PM
Junot & Red River,8:51 AM,9:09 AM,9:31 AM,10:11 AM,9:49 AM,10:51 AM,10:28 AM,11:31 AM,11:17 AM,11:57 AM,12:16 PM,1:01 PM,12:42 PM,1:46 PM,1:27 PM,2:12 PM,2:31 PM,3:16 PM,2:57 PM,4:01 PM,3:42 PM,4:46 PM,4:27 PM,5:31 PM,5:03 PM,4:55 PM,6:14 PM,6:26 PM,6:59 PM,7:17 PM,7:44 PM,8:02 PM,8:29 PM,8:47 PM,9:14 PM,9:32 PM,9:59 PM,10:17 PM
Junot & Walkover,8:51 AM,9:09 AM,9:31 AM,10:11 AM,9:49 AM,10:51 AM,10:28 AM,11:31 AM,11:17 AM,11:57 AM,12:16 PM,1:01 PM,12:42 PM,1:46 PM,1:27 PM,2:12 PM,2:31 PM,3:16 PM,2:57 PM,4:01 PM,3:42 PM,4:46 PM,4:27 PM,5:31 PM,5:03 PM,4:55 PM,6:14 PM,6:26 PM,6:59 PM,7:17 PM,7:44 PM,8:02 PM,8:29 PM,8:47 PM,9:14 PM,9:32 PM,9:59 PM,10:17 PM
Junot & Windsor,8:51 AM,9:09 AM,9:31 AM,10:11 AM,9:49 AM,10:51 AM,10:28 AM,11:32 AM,11:16 AM,11:56 AM,12:17 PM,1:02 PM,12:41 PM,1:47 PM,1:26 PM,2:11 PM,2:32 PM,3:17 PM,2:56 PM,4:02 PM,3:41 PM,4:47 PM,4:26 PM,5:31 PM,5:03 PM,4:55 PM,6:14 PM,6:26 PM,6:59 PM,7:17 PM,7:44 PM,8:02 PM,8:29 PM,8:47 PM,9:14 PM,9:32 PM,9:59 PM,10:17 PM
Junot & John,8:52 AM,9:08 AM,9:32 AM,10:12 AM,9:48 AM,10:52 AM,10:27 AM,11:33 AM,11:15 AM,11:55 AM,12:18 PM,1:03 PM,12:40 PM,1:48 PM,1:25 PM,2:10 PM,2:33 PM,3:18 PM,2:55 PM,4:03 PM,3:40 PM,4:48 PM,4:25 PM,5:32 PM,5:02 PM,4:56 PM,6:15 PM,6:25 PM,7:00 PM,7:16 PM,7:45 PM,8:01 PM,8:30 PM,8:46 PM,9:15 PM,9:31 PM,10:00 PM,10:16 PM
Golf Links & Fairbank,8:52 AM,9:08 AM,9:32 AM,10:12 AM,9:48 AM,10:52 AM,10:27 AM,11:33 AM,11:15 AM,11:55 AM,12:18 PM,1:03 PM,12:40 PM,1:48 PM,1:25 PM,2:10 PM,2:33 PM,3:18 PM,2:55 PM,4:03 PM,3:40 PM,4:48 PM,4:25 PM,5:32 PM,5:02 PM,4:56 PM,6:15 PM,6:25 PM,7:00 PM,7:16 PM,7:45 PM,8:01 PM,8:30 PM,8:46 PM,9:15 PM,9:31 PM,10:00 PM,10:16 PM
Golf Links & Crystal,8:53 AM,9:07 AM,9:33 AM,10:13 AM,9:47 AM,10:53 AM,10:26 AM,11:35 AM,11:13 AM,11:53 AM,12:20 PM,1:05 PM,12:38 PM,1:50 PM,1:23 PM,2:08 PM,2:35 PM,3:20 PM,2:53 PM,4:05 PM,3:38 PM,4:50 PM,4:23 PM,5:33 PM,5:01 PM,4:57 PM,6:16 PM,6:24 PM,7:01 PM,7:15 PM,7:46 PM,8:00 PM,8:31 PM,8:45 PM,9:16 PM,9:30 PM,10:01 PM,10:15 PM
