,132806:304881,132804:305311,132825:304862,132808:306005,132823:305728,132807:305183,132815:304859,132791:305542,132798:305698,132792:305752,132816:305405,132809:305707,132799:305763,132793:305898,132817:304863,132810:304996,132800:306007,132794:305925,132818:304849,132811:305724,132790:305490,132795:305560,132801:304939,132812:305166,132802:305523,132796:304832,132803:305236,132821:305320,132829:305637,132824:305376,132820:304872,132826:305336,132822:304656,132827:304989,132828:305055,132813:305004,132797:305002,132805:304975,132819:305057,132814:305879
Walsh & Hyde Park,8:24 AM,8:56 AM,9:04 AM,9:36 AM,10:16 AM,9:44 AM,10:56 AM,10:24 AM,11:36 AM,11:04 AM,12:21 PM,11:47 AM,1:08 PM,12:32 PM,1:53 PM,1:17 PM,2:38 PM,2:02 PM,3:23 PM,2:47 PM,4:08 PM,3:32 PM,4:53 PM,4:17 PM,5:36 PM,5:02 PM,6:17 PM,5:45 PM,7:01 PM,6:29 PM,7:46 PM,7:14 PM,8:31 PM,7:59 PM,9:16 PM,8:44 PM,9:29 PM,10:01 PM,10:46 PM,10:14 PM
Walsh & Tarbutt,8:24 AM,8:56 AM,9:04 AM,9:36 AM,10:16 AM,9:44 AM,10:56 AM,10:24 AM,11:36 AM,11:04 AM,12:21 PM,11:47 AM,1:08 PM,12:32 PM,1:53 PM,1:17 PM,2:38 PM,2:02 PM,3:23 PM,2:47 PM,4:08 PM,3:32 PM,4:53 PM,4:17 PM,5:36 PM,5:02 PM,6:17 PM,5:45 PM,7:01 PM,6:29 PM,7:46 PM,7:14 PM,8:31 PM,7:59 PM,9:16 PM,8:44 PM,9:29 PM,10:01 PM,10:46 PM,10:14 PM
Walsh & Kingsway,8:25 AM,8:55 AM,9:05 AM,9:35 AM,10:15 AM,9:45 AM,10:55 AM,10:25 AM,11:35 AM,11:05 AM,12:20 PM,11:48 AM,1:07 PM,12:33 PM,1:52 PM,1:18 PM,2:37 PM,2:03 PM,3:22 PM,2:48 PM,4:07 PM,3:33 PM,4:52 PM,4:18 PM,5:35 PM,5:03 PM,6:16 PM,5:46 PM,7:00 PM,6:30 PM,7:45 PM,7:15 PM,8:30 PM,8:00 PM,9:15 PM,8:45 PM,9:30 PM,10:00 PM,10:45 PM,10:15 PM
Walsh & Waterloo,8:25 AM,8:55 AM,9:05 AM,9:35 AM,10:15 AM,9:45 AM,10:55 AM,10:25 AM,11:35 AM,11:05 AM,12:20 PM,11:48 AM,1:07 PM,12:33 PM,1:52 PM,1:18 PM,2:37 PM,2:03 PM,3:22 PM,2:48 PM,4:07 PM,3:33 PM,4:52 PM,4:18 PM,5:35 PM,5:03 PM,6:16 PM,5:46 PM,7:00 PM,6:30 PM,7:45 PM,7:15 PM,8:30 PM,8:00 PM,9:15 PM,8:45 PM,9:30 PM,10:00 PM,10:45 PM,10:15 PM
Walsh & Ruskin,8:25 AM,8:55 AM,9:05 AM,9:35 AM,10:15 AM,9:45 AM,10:55 AM,10:25 AM,11:35 AM,11:05 AM,12:20 PM,11:48 AM,1:07 PM,12:33 PM,1:52 PM,1:18 PM,2:37 PM,2:03 PM,3:22 PM,2:48 PM,4:07 PM,3:33 PM,4:52 PM,4:18 PM,5:35 PM,5:03 PM,6:16 PM,5:46 PM,7:00 PM,6:30 PM,7:45 PM,7:15 PM,8:30 PM,8:00 PM,9:15 PM,8:45 PM,9:30 PM,10:00 PM,10:45 PM,10:15 PM
Walsh & Minto,8:26 AM,8:54 AM,9:06 AM,9:34 AM,10:14 AM,9:46 AM,10:54 AM,10:26 AM,11:34 AM,11:06 AM,12:19 PM,11:49 AM,1:06 PM,12:34 PM,1:51 PM,1:19 PM,2:36 PM,2:04 PM,3:21 PM,2:49 PM,4:06 PM,3:34 PM,4:51 PM,4:19 PM,5:34 PM,5:04 PM,6:15 PM,5:47 PM,6:59 PM,6:31 PM,7:44 PM,7:16 PM,8:29 PM,8:01 PM,9:14 PM,8:46 PM,9:31 PM,9:59 PM,10:44 PM,10:16 PM
Walsh & Edward,8:26 AM,8:54 AM,9:06 AM,9:34 AM,10:14 AM,9:46 AM,10:54 AM,10:26 AM,11:34 AM,11:06 AM,12:19 PM,11:49 AM,1:06 PM,12:34 PM,1:51 PM,1:19 PM,2:36 PM,2:04 PM,3:21 PM,2:49 PM,4:06 PM,3:34 PM,4:51 PM,4:19 PM,5:34 PM,5:04 PM,6:15 PM,5:47 PM,6:59 PM,6:31 PM,7:44 PM,7:16 PM,8:29 PM,8:01 PM,9:14 PM,8:46 PM,9:31 PM,9:59 PM,10:44 PM,10:16 PM
Walsh & Brown,8:26 AM,8:54 AM,9:06 AM,9:34 AM,10:14 AM,9:46 AM,10:54 AM,10:26 AM,11:34 AM,11:06 AM,12:19 PM,11:49 AM,1:06 PM,12:34 PM,1:51 PM,1:19 PM,2:36 PM,2:04 PM,3:21 PM,2:49 PM,4:06 PM,3:34 PM,4:51 PM,4:19 PM,5:34 PM,5:04 PM,6:15 PM,5:47 PM,6:59 PM,6:31 PM,7:44 PM,7:16 PM,8:29 PM,8:01 PM,9:14 PM,8:46 PM,9:31 PM,9:59 PM,10:44 PM,10:16 PM
Walsh & Leland,8:27 AM,8:53 AM,9:07 AM,9:33 AM,10:13 AM,9:47 AM,10:53 AM,10:27 AM,11:33 AM,11:07 AM,12:18 PM,11:50 AM,1:05 PM,12:35 PM,1:50 PM,1:20 PM,2:35 PM,2:05 PM,3:20 PM,2:50 PM,4:05 PM,3:35 PM,4:50 PM,4:20 PM,5:33 PM,5:05 PM,6:14 PM,5:48 PM,6:58 PM,6:32 PM,7:43 PM,7:17 PM,8:28 PM,8:02 PM,9:13 PM,8:47 PM,9:32 PM,9:58 PM,10:43 PM,10:17 PM
Walsh & Holly,8:27 AM,8:53 AM,9:07 AM,9:33 AM,10:13 AM,9:47 AM,10:53 AM,10:27 AM,11:33 AM,11:07 AM,12:18 PM,11:50 AM,1:05 PM,12:35 PM,1:50 PM,1:20 PM,2:35 PM,2:05 PM,3:20 PM,2:50 PM,4:05 PM,3:35 PM,4:50 PM,4:20 PM,5:33 PM,5:05 PM,6:14 PM,5:48 PM,6:58 PM,6:32 PM,7:43 PM,7:17 PM,8:28 PM,8:02 PM,9:13 PM,8:47 PM,9:32 PM,9:58 PM,10:43 PM,10:17 PM
