route_id,service_id,trip_id,trip_headsign,shape_id
16,299407,134686:299407,BALMORAL to City Hall,3166
5,299408,135614:299408,EDWARD to College,3299
3M,299410,135559:299410,MEMORIAL to Jumbo Gardens,3281
10,299415,134435:299415,NORTHWOOD to College,3264
5,299416,135613:299416,EDWARD to College,3299
9,299420,133963:299420,JUNOT to Waterfront,3096
10,299427,134437:299427,NORTHWOOD to College,3264
14,299429,134758:299429,ARTHUR to Jumbo Gardens,3288
9,299432,138666:299432,JUNOT to Waterfront,3096
16,299433,134485:299433,BALMORAL to College,3152
9,299439,132863:299439,JUNOT to Waterfront,3096
3M,299445,135413:299445,MEMORIAL to Northwood,3149
3M,299447,135355:299447,MEMORIAL to County Park,3279
10,299450,132447:299450,NORTHWOOD to College,3264
5,299452,134849:299452,EDWARD to Waterfront,3119
9,299453,135629:299453,JUNOT to Waterfront,3261
3M,299454,135731:299454,MEMORIAL to Airport,3277
9,299460,133959:299460,JUNOT to Waterfront,3096
1,299461,134166:299461,MAINLINE to City Hall,3272
3C,299462,135546:299462,COUNTY PARK to Northwood,3271
2,299464,138807:299464,CROSSTOWN to Waterfront,3128
16,299465,134679:299465,BALMORAL to City Hall,3166
10,299471,134929:299471,NORTHWOOD to County Park,3100
10,299472,134430:299472,NORTHWOOD to County Park,3100
12,299473,135589:299473,to City Hall,3244
16,299474,134674:299474,BALMORAL to City Hall,3166
1,299475,135069:299475,MAINLINE to Westfort,3130
1,299477,135071:299477,MAINLINE to Westfort,3130
10,299478,132450:299478,NORTHWOOD to College,3264
14,299479,134751:299479,ARTHUR to Jumbo Gardens,3288
3C,299481,138995:299481,COUNTY PARK to Northwood,3271
10,299487,134971:299487,NORTHWOOD to College,3264
14,299488,134350:299488,ARTHUR to City Hall,3243
5,299491,135623:299491,EDWARD to Waterfront,3119
1,299494,135611:299494,MAINLINE to Westfort,3130
3M,299496,135406:299496,MEMORIAL to Airport,3277
3M,299498,135427:299498,MEMORIAL to City Hall,3126
2,299499,132739:299499,CROSSTOWN to Waterfront,3128
3M,299500,138942:299500,MEMORIAL to City Hall,3126
7,299501,134066:299501,HUDSON to Waterfront,3172
1,299503,138855:299503,MAINLINE to City Hall,3114
9,299504,138689:299504,JUNOT to Waterfront,3096
5,299510,134844:299510,EDWARD to Waterfront,3119
14,299512,134760:299512,ARTHUR to City Hall,3243
3M,299517,138943:299517,MEMORIAL to City Hall,3126
5,299521,134299:299521,EDWARD to Waterfront,3119
1,299523,134126:299523,MAINLINE to Westfort,3130
2,299527,133905:299527,CROSSTOWN to Waterfront,3128
14,299532,135500:299532,ARTHUR to Jumbo Gardens,3288
1,299533,132688:299533,MAINLINE to City Hall,3114
5,299534,134871:299534,EDWARD to Waterfront,3119
7,299535,135665:299535,HUDSON to Waterfront,3172
11,299536,134813:299536,JOHN to Waterfront,3280
7,299538,134052:299538,HUDSON to Waterfront,3172
2,299540,133889:299540,CROSSTOWN to Waterfront,3262
1,299542,138827:299542,MAINLINE to Westfort,3130
3M,299543,138907:299543,MEMORIAL to Northwood,3149
5,299545,138981:299545,EDWARD to Waterfront,3119
1,299546,134127:299546,MAINLINE to Westfort,3130
2,299547,133915:299547,CROSSTOWN to Westfort,3113
7,299548,135210:299548,HUDSON to Waterfront,3172
13,299552,134639:299552,JOHN-JUMBO to Waterfront,3223
7,299557,135213:299557,HUDSON to Waterfront,3172
1,299561,138864:299561,MAINLINE to City Hall,3114
3C,299566,134987:299566,COUNTY PARK to Northwood,3271
5,299567,138974:299567,EDWARD to Waterfront,3119
14,299568,134356:299568,ARTHUR to Jumbo Gardens,3288
9,299570,133935:299570,JUNOT to Waterfront,3261
3M,299577,138928:299577,MEMORIAL to Northwood,3149
7,299586,135211:299586,HUDSON to Waterfront,3172
14,299587,134397:299587,ARTHUR to Airport,3145
13,299588,139113:299588,JOHN-JUMBO to Waterfront,3223
3M,299589,135426:299589,MEMORIAL to Waterfront,3179
1,299591,135674:299591,MAINLINE to Westfort,3132
3J,299592,135720:299592,JUMBO GARDENS to Sherwood Dr.,3287
12,299594,134717:299594,to City Hall,3244
2,299596,138808:299596,CROSSTOWN to Waterfront,3128
12,299603,134712:299603,to City Hall,3244
2,299604,138801:299604,CROSSTOWN to Waterfront,3262
1,299605,138852:299605,MAINLINE to Westfort,3132
3M,299606,135349:299606,MEMORIAL to County Park,3279
5,299610,138975:299610,EDWARD to Waterfront,3119
2,299613,133882:299613,CROSSTOWN to Waterfront,3262
1,299614,138860:299614,MAINLINE to City Hall,3114
3C,299618,134986:299618,COUNTY PARK to Northwood,3271
14,299621,134363:299621,ARTHUR to Jumbo Gardens,3288
10,299623,135509:299623,NORTHWOOD to County Park,3112
10,299626,139078:299626,NORTHWOOD to County Park,3100
3M,299631,135385:299631,MEMORIAL to Northwood,3278
10,299633,134459:299633,NORTHWOOD to College,3264
11,299636,135640:299636,JOHN to Waterfront,3280
3M,299638,138908:299638,MEMORIAL to Northwood,3149
10,299639,135513:299639,NORTHWOOD to County Park,3100
10,299644,139093:299644,NORTHWOOD to College,3264
5,299645,135518:299645,EDWARD to Westfort,3136
3C,299646,135723:299646,COUNTY PARK to Castlegreen Dr,3168
7,299647,138733:299647,HUDSON to Waterfront,3172
3J,299648,135655:299648,JUMBO GARDENS to Airport,3300
3J,299650,134902:299650,JUMBO GARDENS to Sherwood Dr.,3287
