route_id,service_id,trip_id,trip_headsign,shape_id
7,300508,134059:300508,HUDSON to Waterfront,3172
7,300512,134063:300512,HUDSON to Waterfront,3172
7,300517,138735:300517,HUDSON to Waterfront,3172
7,300519,138732:300519,HUDSON to Waterfront,3172
11,300527,135639:300527,JOHN to Waterfront,3280
3M,300528,135396:300528,MEMORIAL to Airport,3277
3J,300532,134909:300532,JUMBO GARDENS to Sherwood Dr.,3287
10,300533,132436:300533,NORTHWOOD to College,3264
5,300536,134864:300536,EDWARD to Westfort,3136
10,300537,134968:300537,NORTHWOOD to County Park,3100
3C,300538,134989:300538,COUNTY PARK to Northwood,3271
3C,300539,139003:300539,COUNTY PARK to Northwood,3271
7,300540,138744:300540,HUDSON to Waterfront,3172
5,300541,134296:300541,EDWARD to Waterfront,3119
7,300545,135251:300545,HUDSON to Waterfront,3172
5,300547,134846:300547,EDWARD to Waterfront,3119
10,300548,139080:300548,NORTHWOOD to County Park,3100
7,300549,132765:300549,HUDSON to Waterfront,3172
14,300551,134396:300551,ARTHUR to Airport,3145
5,300553,134831:300553,EDWARD to Westfort,3136
3C,300554,135000:300554,COUNTY PARK to Castlegreen Dr,3168
10,300555,134423:300555,NORTHWOOD to County Park,3100
5,300557,134859:300557,EDWARD to Westfort,3136
7,300559,138746:300559,HUDSON to Waterfront,3172
2,300560,132743:300560,CROSSTOWN to Waterfront,3262
7,300562,135664:300562,HUDSON to Waterfront,3172
14,300565,139047:300565,ARTHUR to City Hall,3243
3C,300567,138996:300567,COUNTY PARK to Northwood,3271
2,300573,133920:300573,CROSSTOWN to Westfort,3113
9,300574,132867:300574,JUNOT to Waterfront,3096
10,300576,132417:300576,NORTHWOOD to County Park,3100
7,300578,135253:300578,HUDSON to Waterfront,3172
2,300582,133888:300582,CROSSTOWN to Waterfront,3262
3M,300583,135684:300583,MEMORIAL to Northwood,3278
3M,300584,135380:300584,MEMORIAL to Airport,3277
14,300585,134750:300585,ARTHUR to Jumbo Gardens,3288
9,300593,135138:300593,JUNOT to Intercity,3260
3M,300595,135369:300595,MEMORIAL to County Park,3279
14,300597,134398:300597,ARTHUR to Airport,3145
1,300599,138825:300599,MAINLINE to Westfort,3130
3M,300603,138927:300603,MEMORIAL to Northwood,3149
1,300604,134167:300604,MAINLINE to Westfort,3132
2,300605,132735:300605,CROSSTOWN to Waterfront,3262
3C,300606,135007:300606,COUNTY PARK to Castlegreen Dr,3168
16,300608,134685:300608,BALMORAL to City Hall,3166
3M,300610,135411:300610,MEMORIAL to County Park,3175
3J,300611,134911:300611,JUMBO GARDENS to Sherwood Dr.,3287
1,300613,132686:300613,MAINLINE to Westfort,3132
14,300615,134756:300615,ARTHUR to Jumbo Gardens,3288
1,300616,134116:300616,MAINLINE to Westfort,3130
3M,300617,135672:300617,MEMORIAL to Airport,3276
9,300619,138668:300619,JUNOT to Waterfront,3096
10,300622,134424:300622,NORTHWOOD to County Park,3100
14,300624,134388:300624,ARTHUR to Airport,3145
14,300630,139031:300630,ARTHUR to City Hall,3243
3J,300634,134908:300634,JUMBO GARDENS to Sherwood Dr.,3287
2,300645,133925:300645,CROSSTOWN to Westfort,3113
3C,300646,135012:300646,COUNTY PARK to Castlegreen Dr,3168
5,300655,134832:300655,EDWARD to Westfort,3136
3J,300657,134906:300657,JUMBO GARDENS to Sherwood Dr.,3287
5,300658,134880:300658,EDWARD to Waterfront,3119
13,300663,134648:300663,JOHN-JUMBO to County Fair,3265
10,300665,134433:300665,NORTHWOOD to County Park,3100
3C,300669,135706:300669,COUNTY PARK to Castlegreen Dr,3168
10,300673,134964:300673,NORTHWOOD to Waterfront,3292
3M,300674,138912:300674,MEMORIAL to Northwood,3149
9,300676,138691:300676,JUNOT to Waterfront,3096
9,300681,138690:300681,JUNOT to Waterfront,3096
7,300683,134056:300683,HUDSON to Waterfront,3172
10,300686,134966:300686,NORTHWOOD to College,3264
1,300687,132695:300687,MAINLINE to City Hall,3114
3C,300689,134991:300689,COUNTY PARK to Northwood,3271
1,300693,135677:300693,MAINLINE to Current River,3293
7,300695,134071:300695,HUDSON to Waterfront,3172
2,300696,138805:300696,CROSSTOWN to Waterfront,3128
2,300699,133898:300699,CROSSTOWN to Waterfront,3262
3M,300701,135381:300701,MEMORIAL to Northwood,3278
7,300705,137414:300705,HUDSON to Waterfront,3172
11,300706,134815:300706,JOHN to Waterfront,3280
14,300709,134352:300709,ARTHUR to City Hall,3243
5,300710,134853:300710,EDWARD to Westfort,3136
10,300711,134940:300711,NORTHWOOD to County Park,3100
3M,300712,135580:300712,MEMORIAL to Jumbo Gardens,3281
10,300715,139079:300715,NORTHWOOD to County Park,3100
5,300717,134857:300717,EDWARD to Westfort,3136
3C,300720,134995:300720,COUNTY PARK to Northwood,3271
3J,300721,135685:300721,JUMBO GARDENS to Sherwood Dr.,3287
9,300722,133960:300722,JUNOT to Waterfront,3096
3M,300726,135548:300726,MEMORIAL to County Park,3175
10,300728,134963:300728,NORTHWOOD to College,3264
7,300737,132753:300737,HUDSON to Waterfront,3172
12,300739,134725:300739,to City Hall,3244
2,300741,133894:300741,CROSSTOWN to Waterfront,3262
10,300742,135531:300742,NORTHWOOD to County Park,3100
2,300744,132749:300744,CROSSTOWN to Waterfront,3128
9,300746,138667:300746,JUNOT to Waterfront,3096
14,300751,134367:300751,ARTHUR to Jumbo Gardens,3288
5,300753,134294:300753,EDWARD to Waterfront,3119
6,300755,134657:300755,MISSION RD.,3104
3M,300760,135578:300760,MEMORIAL to County Park,3279
5,300763,134297:300763,EDWARD to Waterfront,3119
3J,300764,134904:300764,JUMBO GARDENS to Sherwood Dr.,3287
13,300765,139119:300765,JOHN-JUMBO to Waterfront,3223
5,300771,134858:300771,EDWARD to Westfort,3136
3M,300775,138921:300775,MEMORIAL to Northwood,3149
14,300776,134354:300776,ARTHUR to Jumbo Gardens,3288
14,300778,134767:300778,ARTHUR to Airport,3145
10,300780,134462:300780,NORTHWOOD to College,3264
2,300781,133897:300781,CROSSTOWN to Waterfront,3262
3C,300783,135688:300783,COUNTY PARK to Castlegreen Dr,3168
14,300791,134754:300791,ARTHUR to Jumbo Gardens,3288
3M,300792,135382:300792,MEMORIAL to Airport,3277
3M,300793,135400:300793,MEMORIAL to Airport,3277
2,300794,138803:300794,CROSSTOWN to Waterfront,3262
14,300795,135547:300795,ARTHUR to Airport,3145
3M,300796,135378:300796,MEMORIAL to Airport,3277
9,300797,132866:300797,JUNOT to Waterfront,3096
2,300799,132747:300799,CROSSTOWN to Waterfront,3128
9,300804,135094:300804,JUNOT to Waterfront,3096
3M,300806,138910:300806,MEMORIAL to Northwood,3149
2,300808,133924:300808,CROSSTOWN to Westfort,3113
3M,300812,135418:300812,MEMORIAL to County Park,3175
3M,300818,135347:300818,MEMORIAL to County Park,3279
7,300820,132754:300820,HUDSON to Waterfront,3172
1,300822,134133:300822,MAINLINE to Westfort,3130
14,300824,132471:300824,ARTHUR to City Hall,3243
1,300826,134128:300826,MAINLINE to Westfort,3130
10,300827,132449:300827,NORTHWOOD to College,3264
5,300829,134870:300829,EDWARD to Waterfront,3119
1,300831,135039:300831,MAINLINE to Westfort,3130
1,300832,134120:300832,MAINLINE to Westfort,3130
1,300833,132691:300833,MAINLINE to City Hall,3114
10,300834,134965:300834,NORTHWOOD to County Park,3100
10,300844,134418:300844,NORTHWOOD to County Park,3100
3M,300847,135693:300847,MEMORIAL to Northwood,3278
3M,300849,135390:300849,MEMORIAL to Airport,3277
3M,300851,138900:300851,MEMORIAL to County Park,3175
11,300853,135645:300853,JOHN to Waterfront,3280
3M,300855,135361:300855,MEMORIAL to County Park,3279
10,300859,139077:300859,NORTHWOOD to County Park,3100
2,300863,133900:300863,CROSSTOWN to Waterfront,3262
3C,300864,135003:300864,COUNTY PARK to Castlegreen Dr,3168
5,300866,138977:300866,EDWARD to Waterfront,3119
5,300869,134874:300869,EDWARD to Waterfront,3119
9,300871,135110:300871,JUNOT to Waterfront,3261
7,300882,134077:300882,HUDSON to Waterfront,3172
14,300887,134364:300887,ARTHUR to Jumbo Gardens,3288
3M,300888,138922:300888,MEMORIAL to City Hall,3126
3C,300890,138998:300890,COUNTY PARK to Northwood,3271
14,300898,134349:300898,ARTHUR to City Hall,3243
3M,300901,135375:300901,MEMORIAL to County Park,3279
14,300903,135502:300903,ARTHUR to Jumbo Gardens,3288
3M,300907,138946:300907,MEMORIAL to City Hall,3126
5,300908,134861:300908,EDWARD to Westfort,3136
10,300909,134461:300909,NORTHWOOD to College,3264
2,300911,132733:300911,CROSSTOWN to Waterfront,3262
14,300912,139034:300912,ARTHUR to City Hall,3243
1,300914,132692:300914,MAINLINE to City Hall,3114
5,300917,134866:300917,EDWARD to Westfort,3136
14,300921,135504:300921,ARTHUR to Jumbo Gardens,3288
11,300922,134816:300922,JOHN to Waterfront,3280
3M,300923,138933:300923,MEMORIAL to City Hall,3126
14,300925,134769:300925,ARTHUR to Airport,3145
5,300933,134877:300933,EDWARD to Waterfront,3119
2,300936,138804:300936,CROSSTOWN to Waterfront,3262
10,300943,134419:300943,NORTHWOOD to County Park,3100
13,300946,134636:300946,JOHN-JUMBO to Waterfront,3223
9,300953,135115:300953,JUNOT to Waterfront,3096
10,300954,139105:300954,NORTHWOOD to College,3264
16,300961,134687:300961,BALMORAL to City Hall,3166
3C,300969,134999:300969,COUNTY PARK to Waterfront,3269
5,300976,135617:300976,EDWARD to Waterfront,3119
7,300977,134058:300977,HUDSON to Waterfront,3172
5,300978,138976:300978,EDWARD to Waterfront,3119
9,300980,135119:300980,JUNOT to Waterfront,3261
3C,300982,135008:300982,COUNTY PARK to Castlegreen Dr,3168
1,300984,135059:300984,MAINLINE to Westfort,3130
3C,300985,134985:300985,COUNTY PARK to Northwood,3271
3M,300987,135599:300987,MEMORIAL to County Park,3279
10,300995,132448:300995,NORTHWOOD to College,3264
2,300996,133913:300996,CROSSTOWN to Westfort,3113
7,300997,132752:300997,HUDSON to Waterfront,3172
7,301001,135227:301001,HUDSON to Waterfront,3172
5,301005,134869:301005,EDWARD to Waterfront,3119
1,301006,138828:301006,MAINLINE to Westfort,3130
9,301007,133964:301007,JUNOT to Waterfront,3096
3M,301008,135383:301008,MEMORIAL to Northwood,3278
12,301009,134723:301009,to City Hall,3244
10,301015,134458:301015,NORTHWOOD to College,3264
5,301026,132558:301026,EDWARD to Waterfront,3119
7,301036,132770:301036,HUDSON to Waterfront,3172
2,301044,138795:301044,CROSSTOWN to Waterfront,3128
3M,301045,135419:301045,MEMORIAL to Airport,3276
2,301046,133886:301046,CROSSTOWN to Waterfront,3262
7,301049,134070:301049,HUDSON to Waterfront,3172
3C,301051,135018:301051,COUNTY PARK to Northwood,3271
7,301053,135258:301053,HUDSON to Waterfront,3172
1,301055,134124:301055,MAINLINE to Westfort,3130
12,301058,135603:301058,to City Hall,3244
10,301059,134425:301059,NORTHWOOD to County Park,3100
10,301060,132419:301060,NORTHWOOD to County Park,3100
7,301062,138750:301062,HUDSON to Waterfront,3172
3C,301063,135545:301063,COUNTY PARK to Northwood,3271
3M,301065,135401:301065,MEMORIAL to Northwood,3278
10,301066,134428:301066,NORTHWOOD to County Park,3100
9,301067,135139:301067,JUNOT to Intercity,3260
9,301069,133953:301069,JUNOT to Waterfront,3261
3C,301070,135732:301070,COUNTY PARK to Castlegreen Dr,3168
3C,301076,134988:301076,COUNTY PARK to Northwood,3271
9,301077,133958:301077,JUNOT to Waterfront,3096
14,301078,139048:301078,ARTHUR to City Hall,3243
12,301080,135551:301080,to City Hall,3244
3M,301081,135394:301081,MEMORIAL to Airport,3277
9,301082,135625:301082,JUNOT to Waterfront,3261
3M,301085,138902:301085,MEMORIAL to County Park,3175
13,301087,139115:301087,JOHN-JUMBO to Waterfront,3223
1,301088,132662:301088,MAINLINE to Westfort,3130
2,301089,138791:301089,CROSSTOWN to Waterfront,3262
12,301093,134719:301093,to City Hall,3244
5,301096,134881:301096,EDWARD to Waterfront,3119
2,301097,138797:301097,CROSSTOWN to Waterfront,3128
3C,301100,135001:301100,COUNTY PARK to Castlegreen Dr,3168
3M,301102,138903:301102,MEMORIAL to County Park,3175
1,301104,134136:301104,MAINLINE to Westfort,3130
7,301108,134075:301108,HUDSON to Waterfront,3172
5,301109,134867:301109,EDWARD to Waterfront,3119
7,301110,134057:301110,HUDSON to Waterfront,3172
5,301114,134293:301114,EDWARD to Waterfront,3119
3C,301119,135004:301119,COUNTY PARK to Castlegreen Dr,3168
3M,301129,135376:301129,MEMORIAL to Jumbo Gardens,3281
2,301135,133891:301135,CROSSTOWN to Waterfront,3262
9,301137,135146:301137,JUNOT to Intercity,3260
3M,301139,135702:301139,MEMORIAL to Northwood,3278
3M,301146,135371:301146,MEMORIAL to County Park,3279
14,301147,134790:301147,ARTHUR to City Hall,3243
2,301149,133904:301149,CROSSTOWN to Waterfront,3128
14,301150,134768:301150,ARTHUR to Airport,3145
3M,301152,135421:301152,MEMORIAL to County Park,3175
2,301167,132740:301167,CROSSTOWN to Waterfront,3262
10,301171,132418:301171,NORTHWOOD to County Park,3100
12,301174,134711:301174,to City Hall,3244
7,301175,134060:301175,HUDSON to Waterfront,3172
8,301177,135624:301177,JAMES to City Hall via College,3259
14,301181,134749:301181,ARTHUR to Jumbo Gardens,3288
5,301183,134850:301183,EDWARD to Waterfront,3119
7,301190,134078:301190,HUDSON to Waterfront,3172
9,301194,135117:301194,JUNOT to Waterfront,3261
16,301198,135519:301198,BALMORAL to City Hall,3166
7,301199,135256:301199,HUDSON to Waterfront,3172
1,301206,138854:301206,MAINLINE to City Hall,3114
9,301207,132841:301207,JUNOT to Waterfront,3261
3J,301208,134899:301208,JUMBO GARDENS to Sherwood Dr.,3287
12,301210,134718:301210,to City Hall,3244
2,301214,132746:301214,CROSSTOWN to Waterfront,3262
1,301215,135064:301215,MAINLINE to Westfort,3130
13,301217,134647:301217,JOHN-JUMBO to County Fair,3265
10,301218,139092:301218,NORTHWOOD to College,3264
9,301222,135142:301222,JUNOT to Intercity,3260
3C,301225,138997:301225,COUNTY PARK to Northwood,3271
2,301228,132751:301228,CROSSTOWN to Waterfront,3262
3M,301230,138913:301230,MEMORIAL to Northwood,3149
10,301232,132422:301232,NORTHWOOD to County Park,3100
2,301233,132741:301233,CROSSTOWN to Waterfront,3128
14,301236,135498:301236,ARTHUR to Jumbo Gardens,3288
1,301237,132687:301237,MAINLINE to City Hall,3114
2,301241,138796:301241,CROSSTOWN to Waterfront,3128
14,301244,134377:301244,ARTHUR to City Hall,3243
7,301246,135260:301246,HUDSON to Waterfront,3172
1,301247,132656:301247,MAINLINE to Westfort,3130
3M,301248,135379:301248,MEMORIAL to Northwood,3278
7,301249,132761:301249,HUDSON to Waterfront,3172
9,301252,135112:301252,JUNOT to Waterfront,3261
9,301254,135144:301254,JUNOT to Intercity,3260
14,301256,134355:301256,ARTHUR to Jumbo Gardens,3288
13,301260,134650:301260,JOHN-JUMBO to County Fair,3265
11,301261,134817:301261,JOHN to Waterfront,3280
3M,301263,138898:301263,MEMORIAL to County Park,3175
10,301265,134422:301265,NORTHWOOD to County Park,3100
11,301269,134810:301269,JOHN to Waterfront,3280
1,301270,135038:301270,MAINLINE to Westfort,3130
7,301271,135239:301271,HUDSON to Waterfront,3172
13,301273,134635:301273,JOHN-JUMBO to Waterfront,3223
5,301275,135533:301275,EDWARD to Westfort,3136
7,301277,132756:301277,HUDSON to Waterfront,3172
12,301278,135568:301278,to City Hall,3244
3J,301280,135675:301280,JUMBO GARDENS to Sherwood Dr.,3287
3J,301282,134915:301282,JUMBO GARDENS to Sherwood Dr.,3287
2,301284,132750:301284,CROSSTOWN to Waterfront,3128
3M,301285,135722:301285,MEMORIAL to Airport,3277
7,301290,134062:301290,HUDSON to Waterfront,3172
14,301294,134393:301294,ARTHUR to Airport,3145
7,301297,135255:301297,HUDSON to Waterfront,3172
10,301300,134960:301300,NORTHWOOD to County Park,3100
13,301301,139111:301301,JOHN-JUMBO to Waterfront,3223
1,301303,138857:301303,MAINLINE to City Hall,3114
9,301304,132865:301304,JUNOT to Waterfront,3096
9,301308,132844:301308,JUNOT to Waterfront,3096
14,301311,132455:301311,ARTHUR to City Hall,3243
14,301312,134766:301312,ARTHUR to Airport,3145
2,301314,133916:301314,CROSSTOWN to Westfort,3113
10,301317,134438:301317,NORTHWOOD to College,3264
7,301320,135259:301320,HUDSON to Waterfront,3172
1,301323,134121:301323,MAINLINE to Westfort,3130
5,301325,134845:301325,EDWARD to Waterfront,3119
10,301327,134935:301327,NORTHWOOD to County Park,3100
5,301329,134851:301329,EDWARD to Westfort,3136
3M,301333,135356:301333,MEMORIAL to Jumbo Gardens,3281
3C,301335,135015:301335,COUNTY PARK to Castlegreen Dr,3168
14,301336,134773:301336,ARTHUR to Airport,3145
16,301342,134688:301342,BALMORAL to City Hall,3166
5,301345,134862:301345,EDWARD to Westfort,3136
3M,301347,138919:301347,MEMORIAL to Northwood,3149
2,301349,132737:301349,CROSSTOWN to Waterfront,3128
7,301358,135238:301358,HUDSON to Waterfront,3172
14,301362,134764:301362,ARTHUR to Airport,3145
3M,301364,138901:301364,MEMORIAL to County Park,3175
14,301365,134777:301365,ARTHUR to Airport,3145
3M,301373,135553:301373,MEMORIAL to Jumbo Gardens,3296
5,301375,134876:301375,EDWARD to Waterfront,3119
3M,301378,135407:301378,MEMORIAL to Northwood,3278
16,301381,134678:301381,BALMORAL to City Hall,3166
10,301384,132421:301384,NORTHWOOD to County Park,3100
1,301387,134115:301387,MAINLINE to Westfort,3130
10,301391,134967:301391,NORTHWOOD to College,3264
10,301392,139081:301392,NORTHWOOD to County Park,3100
5,301394,134854:301394,EDWARD to Westfort,3136
2,301395,132745:301395,CROSSTOWN to Waterfront,3262
3M,301396,138909:301396,MEMORIAL to Northwood,3149
14,301397,132470:301397,ARTHUR to City Hall,3243
2,301400,133921:301400,CROSSTOWN to Westfort,3113
7,301401,135215:301401,HUDSON to Waterfront,3172
6,301404,134661:301404,MISSION RD.,3104
13,301406,139123:301406,JOHN-JUMBO to Waterfront,3223
5,301407,134863:301407,EDWARD to Westfort,3136
2,301410,133906:301410,CROSSTOWN to Waterfront,3128
2,301411,133892:301411,CROSSTOWN to Waterfront,3262
3C,301415,135715:301415,COUNTY PARK to Castlegreen Dr,3168
3M,301416,138947:301416,MEMORIAL to City Hall,3126
3M,301419,135368:301419,MEMORIAL to Jumbo Gardens,3281
7,301420,134051:301420,HUDSON to Waterfront,3172
5,301426,134875:301426,EDWARD to Waterfront,3119
5,301427,135512:301427,EDWARD to Westfort,3136
1,301429,135610:301429,MAINLINE to Westfort,3130
3C,301430,135006:301430,COUNTY PARK to Castlegreen Dr,3168
14,301432,134399:301432,ARTHUR to Airport,3145
9,301434,135121:301434,JUNOT to Waterfront,3261
11,301437,135644:301437,JOHN to Waterfront,3280
2,301438,138806:301438,CROSSTOWN to Waterfront,3128
14,301444,134375:301444,ARTHUR to City Hall,3243
13,301452,134652:301452,JOHN-JUMBO to County Fair,3265
3M,301453,138915:301453,MEMORIAL to Northwood,3149
3M,301459,135402:301459,MEMORIAL to Airport,3277
14,301464,134376:301464,ARTHUR to City Hall,3243
11,301471,134818:301471,JOHN to Waterfront,3280
5,301472,132557:301472,EDWARD to Waterfront,3119
5,301477,135528:301477,EDWARD to Westfort,3136
3J,301480,135711:301480,JUMBO GARDENS to Sherwood Dr.,3287
14,301483,135501:301483,ARTHUR to Jumbo Gardens,3288
11,301485,134809:301485,JOHN to Waterfront,3280
3J,301486,134912:301486,JUMBO GARDENS to Sherwood Dr.,3287
1,301488,135061:301488,MAINLINE to Westfort,3130
10,301490,134927:301490,NORTHWOOD to County Park,3100
3M,301494,135370:301494,MEMORIAL to Jumbo Gardens,3281
12,301496,135575:301496,to City Hall,3244
3C,301497,135678:301497,COUNTY PARK to Castlegreen Dr,3168
9,301498,135143:301498,JUNOT to Intercity,3260
9,301501,135631:301501,JUNOT to Waterfront,3261
16,301503,135506:301503,BALMORAL to City Hall,3166
14,301504,134787:301504,ARTHUR to City Hall,3243
3M,301519,138918:301519,MEMORIAL to City Hall,3126
10,301520,134421:301520,NORTHWOOD to County Park,3100
7,301523,135254:301523,HUDSON to Waterfront,3172
5,301524,132551:301524,EDWARD to Westfort,3136
14,301530,134761:301530,ARTHUR to City Hall,3243
1,301531,134125:301531,MAINLINE to Westfort,3130
1,301539,134122:301539,MAINLINE to Westfort,3130
3M,301540,135348:301540,MEMORIAL to Jumbo Gardens,3281
1,301541,134135:301541,MAINLINE to Westfort,3130
14,301542,139049:301542,ARTHUR to City Hall,3243
3C,301544,138999:301544,COUNTY PARK to Northwood,3271
10,301545,132433:301545,NORTHWOOD to College,3264
14,301549,134351:301549,ARTHUR to City Hall,3243
16,301550,134676:301550,BALMORAL to City Hall,3166
2,301555,133883:301555,CROSSTOWN to Waterfront,3262
3C,301558,139001:301558,COUNTY PARK to Northwood,3271
14,301559,134366:301559,ARTHUR to Jumbo Gardens,3288
7,301564,134067:301564,HUDSON to Waterfront,3172
7,301570,135250:301570,HUDSON to Waterfront,3172
3C,301575,135544:301575,COUNTY PARK to Northwood,3271
7,301576,134074:301576,HUDSON to Waterfront,3172
13,301578,134653:301578,JOHN-JUMBO to Waterfront,3223
3C,301579,135002:301579,COUNTY PARK to Castlegreen Dr,3168
7,301581,132760:301581,HUDSON to Waterfront,3172
3M,301583,135601:301583,MEMORIAL to Jumbo Gardens,3281
6,301588,134660:301588,MISSION RD.,3104
10,301590,139108:301590,NORTHWOOD to College,3264
2,301593,133927:301593,CROSSTOWN to Westfort,3113
10,301594,139107:301594,NORTHWOOD to College,3264
5,301595,134860:301595,EDWARD to Westfort,3136
13,301597,139114:301597,JOHN-JUMBO to Waterfront,3223
6,301600,134659:301600,MISSION RD.,3104
7,301601,135663:301601,HUDSON to Waterfront,3172
10,301602,134933:301602,NORTHWOOD to County Park,3100
1,301604,132694:301604,MAINLINE to City Hall,3114
1,301606,135607:301606,MAINLINE to Westfort,3130
14,301609,134747:301609,ARTHUR to Jumbo Gardens,3288
12,301610,134727:301610,to City Hall,3244
1,301613,135068:301613,MAINLINE to Westfort,3130
3M,301619,135564:301619,MEMORIAL to County Park,3279
14,301620,134353:301620,ARTHUR to City Hall,3243
3C,301621,134993:301621,COUNTY PARK to Northwood,3271
13,301622,139120:301622,JOHN-JUMBO to Waterfront,3223
10,301625,132435:301625,NORTHWOOD to College,3264
3C,301626,135013:301626,COUNTY PARK to Castlegreen Dr,3168
14,301627,134389:301627,ARTHUR to Airport,3145
3M,301628,135360:301628,MEMORIAL to Jumbo Gardens,3281
13,301632,139121:301632,JOHN-JUMBO to Waterfront,3223
3M,301637,135350:301637,MEMORIAL to Jumbo Gardens,3281
5,301642,134306:301642,EDWARD to Waterfront,3119
11,301643,135642:301643,JOHN to Waterfront,3280
2,301645,132736:301645,CROSSTOWN to Waterfront,3262
1,301647,134123:301647,MAINLINE to Westfort,3130
14,301648,134392:301648,ARTHUR to Airport,3145
10,301649,134938:301649,NORTHWOOD to County Park,3100
5,301650,135523:301650,EDWARD to Westfort,3136
10,301653,134431:301653,NORTHWOOD to County Park,3100
14,301655,139030:301655,ARTHUR to City Hall,3243
3M,301656,135728:301656,MEMORIAL to Northwood,3278
3J,301660,135703:301660,JUMBO GARDENS to Sherwood Dr.,3287
1,301666,138853:301666,MAINLINE to Westfort,3132
3C,301668,134997:301668,COUNTY PARK to Northwood,3271
5,301674,138979:301674,EDWARD to Waterfront,3119
14,301684,134776:301684,ARTHUR to Airport,3145
13,301693,139125:301693,JOHN-JUMBO to Waterfront,3223
2,301697,133895:301697,CROSSTOWN to Waterfront,3262
14,301698,134390:301698,ARTHUR to Airport,3145
14,301701,134365:301701,ARTHUR to Jumbo Gardens,3288
2,301702,133919:301702,CROSSTOWN to Westfort,3113
13,301703,139117:301703,JOHN-JUMBO to Waterfront,3223
3M,301704,135398:301704,MEMORIAL to Airport,3277
3C,301705,135005:301705,COUNTY PARK to Castlegreen Dr,3168
14,301707,132468:301707,ARTHUR to City Hall,3243
3M,301708,135408:301708,MEMORIAL to Airport,3277
1,301712,138851:301712,MAINLINE to City Hall,3272
1,301714,135067:301714,MAINLINE to Westfort,3130
3M,301716,135592:301716,MEMORIAL to County Park,3279
10,301717,134969:301717,NORTHWOOD to County Park,3100
10,301720,132432:301720,NORTHWOOD to College,3264
1,301724,138862:301724,MAINLINE to City Hall,3114
10,301727,139090:301727,NORTHWOOD to College,3264
7,301729,135248:301729,HUDSON to Waterfront,3172
7,301730,134073:301730,HUDSON to Waterfront,3172
13,301731,139126:301731,JOHN-JUMBO to Waterfront,3223
2,301732,138800:301732,CROSSTOWN to Waterfront,3262
3C,301733,135670:301733,COUNTY PARK to Castlegreen Dr,3168
16,301736,134675:301736,BALMORAL to City Hall,3166
3M,301738,135362:301738,MEMORIAL to Jumbo Gardens,3281
5,301740,132559:301740,EDWARD to Waterfront,3119
14,301741,135503:301741,ARTHUR to Jumbo Gardens,3288
1,301746,135065:301746,MAINLINE to Westfort,3130
2,301748,133922:301748,CROSSTOWN to Westfort,3113
5,301750,138978:301750,EDWARD to Waterfront,3119
9,301751,135118:301751,JUNOT to Waterfront,3261
3M,301752,135403:301752,MEMORIAL to Northwood,3278
3C,301755,135009:301755,COUNTY PARK to Castlegreen Dr,3168
7,301761,137417:301761,HUDSON to Waterfront,3172
7,301763,134061:301763,HUDSON to Waterfront,3172
5,301764,134835:301764,EDWARD to Westfort,3136
16,301767,135534:301767,BALMORAL to City Hall,3166
10,301774,134439:301774,NORTHWOOD to College,3264
1,301775,135058:301775,MAINLINE to Westfort,3130
9,301782,135633:301782,JUNOT to Waterfront,3261
11,301788,134821:301788,JOHN to Waterfront,3280
10,301790,132420:301790,NORTHWOOD to County Park,3100
14,301791,134369:301791,ARTHUR to City Hall,3243
16,301793,135529:301793,BALMORAL to City Hall,3166
1,301794,134118:301794,MAINLINE to Westfort,3130
3M,301795,135415:301795,MEMORIAL to County Park,3175
7,301797,138734:301797,HUDSON to Waterfront,3172
9,302871,135101:302871,JUNOT to University,3247
1,302879,132646:302879,MAINLINE to Westfort,3130
1,302882,135088:302882,MAINLINE to Current River,3274
4,302883,134733:302883,NEEBING,3224
9,302885,135134:302885,JUNOT to Intercity,3260
10,302887,139096:302887,NORTHWOOD to College,3264
1,302888,132701:302888,MAINLINE to Waterfront,3231
2,302890,138776:302890,CROSSTOWN to Westfort,3113
2,302894,132726:302894,CROSSTOWN to Westfort,3113
13,302900,132402:302900,JOHN-JUMBO to County Fair,3265
10,302902,134952:302902,NORTHWOOD to College,3264
1,302903,138867:302903,MAINLINE to Waterfront,3231
1,302904,135648:302904,MAINLINE to Current River,3274
10,302907,135574:302907,NORTHWOOD to College,3264
16,302908,135586:302908,BALMORAL to Waterfront,3301
2,302912,133931:302912,CROSSTOWN to Westfort,3113
11,302913,134239:302913,JOHN to Windsor St.,3283
16,302916,134694:302916,BALMORAL to College,3152
11,302917,134793:302917,JOHN to Windsor St.,3283
1,302920,134109:302920,MAINLINE to Westfort,3130
1,302922,132702:302922,MAINLINE to Waterfront,3231
1,302923,135080:302923,MAINLINE to Current River,3274
2,302924,133928:302924,CROSSTOWN to Westfort,3113
11,302926,134227:302926,JOHN to Windsor St.,3283
11,302927,134799:302927,JOHN to Windsor St.,3283
16,302928,134690:302928,BALMORAL to College,3152
11,302935,134807:302935,JOHN to Windsor St.,3283
2,302936,138773:302936,CROSSTOWN to Westfort,3113
9,302938,135121:302938,JUNOT to Waterfront,3261
13,302939,139136:302939,JOHN-JUMBO to County Fair,3265
16,302940,135558:302940,BALMORAL to Waterfront,3301
2,302941,133930:302941,CROSSTOWN to Westfort,3113
11,302942,134231:302942,JOHN to Windsor St.,3283
