service_id,date,exception_type
299509,20220124,1
299509,20220125,1
300046,20220124,1
300046,20220125,1
299524,20220124,1
299524,20220125,1
300333,20220124,1
300333,20220125,1
300097,20220124,1
300097,20220125,1
299442,20220124,1
299442,20220125,1
299584,20220124,1
299584,20220125,1
300131,20220124,1
300131,20220125,1
299940,20220124,1
299940,20220125,1
299708,20220124,1
299708,20220125,1
300938,20220124,1
300938,20220125,1
300643,20220124,1
300643,20220125,1
300563,20220124,1
300563,20220125,1
300232,20220124,1
300232,20220125,1
301431,20220124,1
301431,20220125,1
301368,20220124,1
301368,20220125,1
300861,20220124,1
300861,20220125,1
299234,20220124,1
299234,20220125,1
300707,20220124,1
300707,20220125,1
299249,20220124,1
299249,20220125,1
300767,20220124,1
300767,20220125,1
299393,20220124,1
299393,20220125,1
299541,20220124,1
299541,20220125,1
301509,20220124,1
301509,20220125,1
300609,20220124,1
300609,20220125,1
300926,20220124,1
300926,20220125,1
300009,20220124,1
300009,20220125,1
301535,20220124,1
301535,20220125,1
299572,20220124,1
299572,20220125,1
300638,20220124,1
300638,20220125,1
300324,20220124,1
300324,20220125,1
300468,20220124,1
300468,20220125,1
300036,20220124,1
300036,20220125,1
300587,20220124,1
300587,20220125,1
301052,20220124,1
301052,20220125,1
300429,20220124,1
300429,20220125,1
301043,20220124,1
301043,20220125,1
299736,20220124,1
299736,20220125,1
299172,20220124,1
299172,20220125,1
301393,20220124,1
301393,20220125,1
303122,20220130,1
303122,20220206,1
303122,20220213,1
303122,20220220,1
303122,20220227,1
301237,20220130,1
301237,20220206,1
301237,20220213,1
301237,20220220,1
301237,20220227,1
303059,20220130,1
303059,20220206,1
303059,20220213,1
303059,20220220,1
303059,20220227,1
299533,20220130,1
299533,20220206,1
299533,20220213,1
299533,20220220,1
299533,20220227,1
303245,20220130,1
303245,20220206,1
303245,20220213,1
303245,20220220,1
303245,20220227,1
300293,20220130,1
300293,20220206,1
300293,20220213,1
300293,20220220,1
300293,20220227,1
303267,20220130,1
303267,20220206,1
303267,20220213,1
303267,20220220,1
303267,20220227,1
299335,20220130,1
299335,20220206,1
299335,20220213,1
299335,20220220,1
299335,20220227,1
303411,20220130,1
303411,20220206,1
303411,20220213,1
303411,20220220,1
303411,20220227,1
300833,20220130,1
300833,20220206,1
300833,20220213,1
300833,20220220,1
300833,20220227,1
303426,20220130,1
303426,20220206,1
303426,20220213,1
303426,20220220,1
303426,20220227,1
300914,20220130,1
300914,20220206,1
300914,20220213,1
300914,20220220,1
