arrival_time,speed
06:25:00,0.0
06:26:00,16.32
06:28:00,10.520000000000026
06:30:00,35.879999999999995
06:31:00,10.320000000000023
06:32:00,8.760000000000016
06:33:00,33.23999999999997
06:34:00,12.52000000000002
06:36:00,18.76000000000006
06:38:00,9.623999999999818
06:40:00,9.200000000000005
06:41:00,33.240000000000016
06:44:00,6.840000000000023
07:00:00,18.48
07:02:00,13.040000000000031
07:05:00,8.640000000000025
07:06:00,12.680000000000028
07:10:00,10.439999999999872
07:13:00,9.080000000000016
07:15:00,6.400000000000022
07:17:00,13.056000000000028
07:20:00,17.64000000000003
07:21:00,7.960000000000013
07:23:00,13.119999999999544
07:25:00,5.040000000000013
07:25:00,28.08
07:27:00,9.560000000000054
07:30:00,0.0
07:31:00,13.040000000000031
07:33:00,10.520000000000026
07:35:00,35.879999999999995
07:37:00,10.320000000000023
07:39:00,8.760000000000016
07:41:00,11.080000000000014
07:43:00,12.52000000000002
07:46:00,17.42400000000007
07:52:00,17.71200000000006
07:55:00,5.520000000000005
07:56:00,33.240000000000016
07:59:00,6.840000000000023
08:00:00,0.0
08:02:00,13.040000000000497
08:05:00,8.640000000000025
08:06:00,25.56000000000001
08:10:00,10.440000000000191
08:13:00,9.079999999999696
08:15:00,6.399999999999794
08:17:00,29.400000000000013
08:20:00,20.760000000000005
08:21:00,7.960000000000296
08:23:00,19.800000000000004
08:25:00,5.040000000000013
08:25:00,28.08
08:27:00,9.560000000000391
08:30:00,0.0
08:31:00,13.03999999999957
08:33:00,10.519999999999651
08:35:00,35.879999999999995
08:37:00,10.31999999999966
08:39:00,8.759999999999705
08:41:00,11.079999999999622
08:43:00,12.519999999999577
08:46:00,17.423999999999328
08:52:00,17.71200000000006
08:55:00,5.520000000000005
08:56:00,33.240000000000016
08:59:00,6.840000000000023
09:00:00,18.48
09:02:00,13.040000000000497
09:05:00,8.640000000000025
09:06:00,25.56000000000001
09:10:00,10.440000000000191
09:13:00,9.079999999999696
09:15:00,6.399999999999794
09:17:00,13.056000000000028
09:20:00,20.760000000000005
09:21:00,7.960000000000296
09:23:00,13.120000000000474
09:25:00,28.08
09:25:00,5.040000000000013
09:27:00,9.560000000000391
09:30:00,0.0
09:31:00,16.32
09:33:00,10.519999999999651
09:35:00,35.879999999999995
09:37:00,10.31999999999966
09:39:00,8.759999999999705
09:41:00,11.079999999999622
09:43:00,12.519999999999577
09:46:00,17.423999999999328
09:52:00,17.71200000000006
09:55:00,5.520000000000005
09:56:00,15.519999999999484
09:59:00,6.840000000000023
10:00:00,0.0
10:02:00,13.040000000000497
10:05:00,8.640000000000025
10:06:00,12.68000000000048
10:10:00,10.440000000000191
10:13:00,9.079999999999696
10:15:00,6.399999999999794
10:17:00,13.056000000000028
10:20:00,20.760000000000005
10:21:00,7.960000000000296
10:23:00,13.120000000000474
10:25:00,5.040000000000013
10:25:00,22.440000000000037
10:27:00,9.560000000000391
10:30:00,0.0
10:31:00,16.32
10:33:00,10.519999999999651
10:35:00,35.879999999999995
10:37:00,10.31999999999966
10:39:00,8.759999999999705
10:41:00,11.079999999999622
10:43:00,12.519999999999577
10:46:00,17.423999999999328
10:52:00,17.71200000000006
10:55:00,5.520000000000005
10:56:00,33.240000000000016
10:59:00,6.840000000000023
11:00:00,18.48
11:02:00,13.040000000000497
11:05:00,8.640000000000025
11:06:00,25.56000000000001
11:10:00,10.440000000000191
11:13:00,9.079999999999696
11:15:00,6.399999999999794
11:17:00,13.056000000000028
11:20:00,20.760000000000005
11:21:00,7.960000000000296
11:23:00,13.120000000000474
11:25:00,5.040000000000013
11:25:00,28.08
11:27:00,9.560000000000391
11:30:00,0.0
11:31:00,16.32
11:33:00,10.519999999999651
11:35:00,35.879999999999995
11:37:00,10.31999999999966
11:39:00,8.759999999999705
11:41:00,11.079999999999622
11:43:00,12.519999999999577
11:46:00,17.423999999999328
11:52:00,17.71200000000006
11:55:00,5.520000000000005
11:56:00,33.240000000000016
11:59:00,6.840000000000023
12:00:00,18.48
12:02:00,13.040000000000497
12:05:00,8.640000000000025
12:06:00,25.56000000000001
12:10:00,10.440000000000191
12:13:00,9.079999999999696
12:15:00,6.399999999999794
12:17:00,29.400000000000013
12:20:00,20.760000000000005
12:21:00,7.960000000000296
12:23:00,19.800000000000004
12:25:00,5.040000000000013
12:25:00,28.08
12:27:00,9.560000000000391
12:30:00,0.0
12:31:00,16.32
12:33:00,10.519999999999651
12:35:00,35.879999999999995
12:37:00,10.31999999999966
12:39:00,8.759999999999705
12:41:00,11.079999999999622
12:43:00,12.519999999999577
12:46:00,17.423999999999328
12:52:00,17.71200000000006
12:55:00,5.520000000000005
12:56:00,33.240000000000016
12:59:00,6.840000000000023
13:00:00,0.0
13:02:00,13.040000000000497
13:05:00,8.640000000000025
13:06:00,25.56000000000001
13:10:00,10.440000000000191
13:13:00,9.079999999999696
13:15:00,6.399999999999794
13:17:00,29.400000000000013
13:20:00,20.760000000000005
13:21:00,7.960000000000296
13:23:00,19.800000000000004
13:25:00,5.040000000000013
13:25:00,22.440000000000037
13:27:00,9.560000000000391
13:30:00,0.0
13:31:00,16.32
13:33:00,10.519999999999651
13:35:00,35.879999999999995
13:37:00,10.31999999999966
13:39:00,8.759999999999705
13:41:00,11.079999999999622
13:43:00,12.519999999999577
13:46:00,17.423999999999328
13:52:00,17.71200000000006
13:55:00,5.520000000000005
13:56:00,33.240000000000016
13:59:00,6.840000000000023
14:00:00,18.48
14:02:00,13.040000000000497
14:05:00,8.640000000000025
14:06:00,12.68000000000048
14:10:00,10.440000000000191
