trip_id,service_id,trip_headsign,route_id,shape_id,origin,destination,start_time,end_time,road_grade,total_time,total_distance,avg_speed,avg_acceleration,stop_density,has_station,dist_to_station,time_at_station
134904:300764,300764,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,12:45:00,13:06:00,-2.204,21.0,8.616,18.32278571428573,524.2877551020396,3.714020427112349,-,0.0,-
134889:303073,303073,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,13:07:00,13:25:00,-2.061,18.0,6.602,16.407619047619054,542.6448979591777,3.6352620418055133,Waterfront Terminal,6.602,13:25:00
134905:300190,300190,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,13:15:00,13:36:00,-2.204,21.0,8.616,18.32278571428573,524.2877551020396,3.714020427112349,-,0.0,-
134890:303035,303035,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,13:37:00,13:55:00,-2.061,18.0,6.602,16.407619047619054,542.6448979591777,3.6352620418055133,Waterfront Terminal,6.602,13:55:00
134906:300657,300657,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,13:45:00,14:06:00,-2.204,21.0,8.616,18.32278571428573,524.2877551020396,3.714020427112349,-,0.0,-
134891:302988,302988,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,14:07:00,14:25:00,-2.061,18.0,6.602,16.407619047619054,542.6448979591777,3.6352620418055133,Waterfront Terminal,6.602,14:25:00
134907:300335,300335,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,14:15:00,14:36:00,-2.204,21.0,8.616,18.32278571428573,524.2877551020396,3.714020427112349,-,0.0,-
134892:303161,303161,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,14:37:00,14:55:00,-2.061,18.0,6.602,16.407619047619054,542.6448979591777,3.6352620418055133,Waterfront Terminal,6.602,14:55:00
134908:300634,300634,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,14:45:00,15:06:00,-2.204,21.0,8.616,18.32278571428573,524.2877551020396,3.714020427112349,-,0.0,-
134893:303621,303621,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,15:07:00,15:25:00,-2.061,18.0,6.602,16.407619047619054,542.6448979591777,3.6352620418055133,Waterfront Terminal,6.602,15:25:00
134909:300532,300532,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,15:15:00,15:36:00,-2.204,21.0,8.616,18.32278571428573,524.2877551020396,3.714020427112349,-,0.0,-
134894:303593,303593,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,15:37:00,15:55:00,-2.061,18.0,6.602,16.407619047619054,542.6448979591777,3.6352620418055133,Waterfront Terminal,6.602,15:55:00
134910:299352,299352,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,15:45:00,16:06:00,-2.204,21.0,8.616,18.32278571428572,524.2877551020413,3.714020427112349,-,0.0,-
134895:303561,303561,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,16:07:00,16:25:00,-2.061,18.0,6.602,16.407619047619033,542.6448979591836,3.6352620418055133,Waterfront Terminal,6.602,16:25:00
134911:300611,300611,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,16:15:00,16:36:00,-2.204,21.0,8.616,18.322785714285665,524.2877551020465,3.714020427112349,-,0.0,-
134896:303251,303251,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,16:37:00,16:55:00,-2.061,18.0,6.602,16.407619047619033,542.6448979591836,3.6352620418055133,Waterfront Terminal,6.602,16:55:00
134912:301486,301486,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,16:45:00,17:06:00,-2.204,21.0,8.616,18.322785714285665,524.2877551020465,3.714020427112349,-,0.0,-
134897:303450,303450,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,17:07:00,17:25:00,-2.061,18.0,6.602,16.407619047619033,542.6448979591836,3.6352620418055133,Waterfront Terminal,6.602,17:25:00
134913:300134,300134,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,17:15:00,17:36:00,-2.204,21.0,8.616,18.322785714285665,524.2877551020465,3.714020427112349,-,0.0,-
134898:303424,303424,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,17:40:00,17:58:00,-2.061,18.0,6.602,16.407619047619047,542.644897959174,3.6352620418055133,Waterfront Terminal,6.602,17:58:00
134915:301282,301282,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,17:45:00,18:06:00,-2.204,21.0,8.616,18.322785714285665,524.2877551020465,3.714020427112349,-,0.0,-
134914:303054,303054,JUMBO GARDENS to Waterfront,3J,3284,Sherwood & Valley,Waterfront Terminal,18:06:00,18:24:00,-2.061,18.0,6.602,16.407619047619047,542.644897959174,3.6352620418055133,Waterfront Terminal,6.602,18:24:00
