trip_id,service_id,trip_headsign,route_id,shape_id,origin,destination,start_time,end_time,road_grade,total_time,total_distance,avg_speed,avg_acceleration,stop_density,has_station,dist_to_station,time_at_station
135005:301705,301705,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,12:30:00,12:50:00,-2.979,20.0,7.169,14.872914285714293,399.4240000000003,4.882131399079369,-,0.0,-
134989:300538,300538,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,12:51:00,13:10:00,-3.24,19.0,7.985,17.078230414746514,389.7166872942724,3.8822792736380713,Waterfront Terminal,7.985,13:10:00
135006:301430,301430,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,13:00:00,13:20:00,-2.979,20.0,7.169,14.872914285714293,399.4240000000003,4.882131399079369,-,0.0,-
134990:299921,299921,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,13:21:00,13:40:00,-3.24,19.0,7.985,17.078230414746514,389.7166872942724,3.8822792736380713,Waterfront Terminal,7.985,13:40:00
135007:300606,300606,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,13:30:00,13:50:00,-2.979,20.0,7.169,14.872914285714293,399.4240000000003,4.882131399079369,-,0.0,-
134991:300689,300689,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,13:51:00,14:10:00,-3.24,19.0,7.985,17.078230414746514,389.7166872942724,3.8822792736380713,Waterfront Terminal,7.985,14:10:00
135008:300982,300982,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,14:00:00,14:20:00,-2.979,20.0,7.169,14.872914285714293,399.4240000000003,4.882131399079369,-,0.0,-
134992:299767,299767,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,14:21:00,14:40:00,-3.24,19.0,7.985,17.078230414746514,389.7166872942724,3.8822792736380713,Waterfront Terminal,7.985,14:40:00
135009:301755,301755,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,14:30:00,14:50:00,-2.979,20.0,7.169,14.872914285714293,399.4240000000003,4.882131399079369,-,0.0,-
134993:301621,301621,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,14:51:00,15:10:00,-3.24,19.0,7.985,17.078230414746514,389.7166872942724,3.8822792736380713,Waterfront Terminal,7.985,15:10:00
135010:300366,300366,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,15:00:00,15:20:00,-2.979,20.0,7.169,14.872914285714293,399.4240000000003,4.882131399079369,-,0.0,-
134994:299267,299267,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,15:21:00,15:40:00,-3.24,19.0,7.985,17.078230414746514,389.7166872942724,3.8822792736380713,Waterfront Terminal,7.985,15:40:00
135011:300353,300353,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,15:30:00,15:50:00,-2.979,20.0,7.169,14.872914285714293,399.4240000000003,4.882131399079369,-,0.0,-
134995:300720,300720,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,15:51:00,16:10:00,-3.24,19.0,7.985,17.07823041474651,389.7166872942726,3.8822792736380713,Waterfront Terminal,7.985,16:10:00
135012:300646,300646,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,16:00:00,16:20:00,-2.979,20.0,7.169,14.872914285714256,399.4240000000065,4.882131399079369,-,0.0,-
134996:300138,300138,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,16:21:00,16:40:00,-3.24,19.0,7.985,17.078230414746614,389.71668729427455,3.8822792736380713,Waterfront Terminal,7.985,16:40:00
135013:301626,301626,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,16:30:00,16:50:00,-2.979,20.0,7.169,14.872914285714256,399.4240000000065,4.882131399079369,-,0.0,-
134997:301668,301668,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,16:51:00,17:10:00,-3.24,19.0,7.985,17.078230414746614,389.71668729427455,3.8822792736380713,Waterfront Terminal,7.985,17:10:00
135014:299816,299816,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,17:00:00,17:20:00,-2.979,20.0,7.169,14.872914285714256,399.4240000000065,4.882131399079369,-,0.0,-
134998:300470,300470,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,17:21:00,17:40:00,-3.24,19.0,7.985,17.078230414746614,389.71668729427455,3.8822792736380713,Waterfront Terminal,7.985,17:40:00
135015:301335,301335,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,17:30:00,17:50:00,-2.979,20.0,7.169,14.872914285714256,399.4240000000065,4.882131399079369,-,0.0,-
134999:300969,300969,COUNTY PARK to Waterfront,3C,3269,Castlegreen & Superiorview,Waterfront Terminal,17:51:00,18:10:00,-3.24,19.0,7.985,17.078230414746614,389.71668729427455,3.8822792736380713,Waterfront Terminal,7.985,18:10:00
135016:304460,304460,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,18:03:00,18:20:00,-2.979,17.0,7.169,16.178057142857142,316.6994285714264,4.882131399079369,-,0.0,-
135018:301051,301051,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,18:24:00,18:43:00,-3.24,19.0,7.985,16.99048847926252,436.6844292297508,3.8822792736380713,Waterfront Terminal,7.985,18:43:00
135019:303894,303894,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,18:48:00,19:05:00,-2.979,17.0,7.169,16.178057142857142,316.6994285714264,4.882131399079369,-,0.0,-
135017:303280,303280,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,19:09:00,19:25:00,-3.24,16.0,7.985,18.3615483870966,496.5739354838664,3.8822792736380713,Waterfront Terminal,7.985,19:25:00
135021:304263,304263,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,19:33:00,19:50:00,-2.979,17.0,7.169,16.178057142857142,316.6994285714264,4.882131399079369,-,0.0,-
135029:303018,303018,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,19:54:00,20:10:00,-3.24,16.0,7.985,18.3615483870966,496.5739354838664,3.8822792736380713,Waterfront Terminal,7.985,20:10:00
135024:304220,304220,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,20:18:00,20:35:00,-2.979,17.0,7.169,16.178057142857142,316.6994285714264,4.882131399079369,-,0.0,-
135026:303446,303446,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,20:39:00,20:55:00,-3.24,16.0,7.985,18.3615483870966,496.5739354838664,3.8822792736380713,Waterfront Terminal,7.985,20:55:00
135025:304509,304509,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,21:03:00,21:20:00,-2.979,17.0,7.169,16.178057142857142,316.6994285714264,4.882131399079369,-,0.0,-
135022:303201,303201,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,21:27:00,21:43:00,-3.24,16.0,7.985,18.36154838709675,496.5739354838743,3.8822792736380713,Waterfront Terminal,7.985,21:43:00
135027:303900,303900,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,21:48:00,22:05:00,-2.979,17.0,7.169,16.178057142857142,316.6994285714264,4.882131399079369,-,0.0,-
135028:303034,303034,COUNTY PARK to Waterfront,3C,3269,Castlegreen & Superiorview,Waterfront Terminal,22:12:00,22:28:00,-3.24,16.0,7.985,18.36154838709675,496.5739354838743,3.8822792736380713,Waterfront Terminal,7.985,22:28:00
135023:303843,303843,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,22:33:00,22:50:00,-2.979,17.0,7.169,16.178057142857142,316.6994285714264,4.882131399079369,-,0.0,-
135020:303617,303617,COUNTY PARK to Waterfront,3C,3269,Castlegreen & Superiorview,Waterfront Terminal,22:54:00,23:10:00,-3.24,16.0,7.985,18.3615483870966,496.5739354838664,3.8822792736380713,Waterfront Terminal,7.985,23:10:00
