trip_id,co2_emission
135551:301080,5.259519999999999
135561:304148,6.355253333333333
135568:304392,6.355253333333333
135575:303908,6.355253333333333
135582:304264,6.355253333333333
135589:303855,6.355253333333333
135596:303892,6.355253333333333
135603:304342,6.355253333333333
134712:303923,6.355253333333333
134713:304185,6.355253333333333
134714:304340,6.355253333333333
134715:304543,6.355253333333333
134716:304551,6.355253333333333
134717:304436,6.355253333333333
134718:304525,6.355253333333333
134719:304495,6.355253333333333
134720:304289,6.355253333333333
134721:304478,6.355253333333333
134722:303996,6.355253333333333
134723:304524,6.355253333333333
134724:304461,6.355253333333333
134725:303981,6.355253333333333
134726:304013,6.355253333333333
134727:304009,6.355253333333333
134711:304210,6.355253333333333
