trip_id,co2_emission
135685:300721,4.163786666666666
135656:303583,3.9446399999999997
135703:301660,4.602079999999999
135658:303571,3.9446399999999997
135720:299592,4.602079999999999
135660:303722,3.9446399999999997
135622:299917,4.602079999999999
134883:303725,3.9446399999999997
134900:299307,4.602079999999999
134885:303023,3.9446399999999997
134902:299650,4.602079999999999
134887:303427,3.9446399999999997
134904:300764,4.602079999999999
134889:303073,3.9446399999999997
134906:300657,4.602079999999999
134891:302988,3.9446399999999997
134908:300634,4.602079999999999
134893:303621,3.9446399999999997
134910:299352,4.602079999999999
134895:303561,3.9446399999999997
134912:301486,4.602079999999999
134897:303450,3.9446399999999997
134915:301282,4.602079999999999
134914:303054,3.9446399999999997
