trip_id,co2_emission
135548:300726,4.163786666666666
135684:300583,6.355253333333333
135566:299932,6.355253333333333
135702:301139,6.355253333333333
135580:300712,6.355253333333333
135719:299729,6.355253333333333
135594:300374,6.355253333333333
135618:299265,6.355253333333333
135348:301540,6.355253333333333
135381:300701,6.355253333333333
135352:300200,6.355253333333333
135385:299631,6.355253333333333
135356:301333,6.355253333333333
135389:299288,6.355253333333333
135360:301628,6.355253333333333
135393:299908,6.355253333333333
135364:299339,6.355253333333333
135397:299999,6.355253333333333
135368:301419,6.355253333333333
135401:301065,6.355253333333333
135372:300404,6.355253333333333
135405:300414,6.355253333333333
135376:301129,6.355253333333333
135409:299212,6.355253333333333
135423:303465,3.9446399999999997
135416:299896,4.602079999999999
135411:300610,4.821226666666666
135413:299445,4.602079999999999
135421:301152,4.821226666666666
135410:300060,4.602079999999999
135418:300812,4.821226666666666
135420:300124,4.602079999999999
135415:301795,4.821226666666666
135417:299291,4.602079999999999
135412:299827,4.821226666666666
135414:299198,4.602079999999999
135422:303096,4.163786666666666
