trip_id,co2_emission
135676:300162,4.163786666666666
135564:301619,6.355253333333333
135696:299795,6.355253333333333
135578:300760,6.355253333333333
135714:299947,6.355253333333333
135592:301716,6.355253333333333
135731:299454,6.355253333333333
135347:300818,6.355253333333333
135380:300584,6.355253333333333
135351:300109,6.355253333333333
135384:300253,6.355253333333333
135355:299447,6.355253333333333
135388:299394,6.355253333333333
135359:300239,6.355253333333333
135392:300045,6.355253333333333
135363:300415,6.355253333333333
135396:300528,6.355253333333333
135367:299261,6.355253333333333
135400:300793,6.355253333333333
135371:301146,6.355253333333333
135404:300448,6.355253333333333
135375:300901,6.355253333333333
135408:301708,6.355253333333333
