trip_id,co2_emission
135547:300795,3.7254933333333327
135498:301236,2.6297599999999997
135563:304329,5.040373333333332
135500:299532,3.0680533333333333
135577:304221,5.040373333333332
135502:300903,3.0680533333333333
135591:304197,5.040373333333332
135504:300921,3.0680533333333333
134762:303919,5.040373333333332
134746:300212,3.0680533333333333
134764:301362,5.478666666666666
134748:299405,3.0680533333333333
134766:301312,5.478666666666666
134750:300585,3.2871999999999995
134768:301150,5.478666666666666
134752:299885,3.2871999999999995
134770:300050,5.478666666666666
134754:300791,3.2871999999999995
134772:299826,5.478666666666666
134756:300615,3.2871999999999995
134774:299846,5.478666666666666
134758:299429,3.2871999999999995
134776:301684,5.478666666666666
134760:299512,3.2871999999999995
134779:304420,4.602079999999999
134778:304356,3.0680533333333333
134784:303926,4.602079999999999
134788:304064,3.0680533333333333
134780:303979,4.602079999999999
134789:299784,2.6297599999999997
134783:303907,4.602079999999999
134787:301504,2.6297599999999997
134781:304378,4.602079999999999
134790:301147,2.6297599999999997
134786:304081,4.602079999999999
134782:299855,2.6297599999999997
