trip_id,co2_emission
135675:301280,4.163786666666666
135655:299648,3.2871999999999995
135694:300026,4.163786666666666
135657:303501,3.9446399999999997
135711:301480,4.602079999999999
135659:303318,3.9446399999999997
135729:300241,4.602079999999999
135661:302955,3.9446399999999997
134899:301208,4.602079999999999
134884:302949,3.9446399999999997
134901:299991,4.602079999999999
134886:303132,3.9446399999999997
134903:299672,4.602079999999999
134888:303156,3.9446399999999997
134905:300190,4.602079999999999
134890:303035,3.9446399999999997
134907:300335,4.602079999999999
134892:303161,3.9446399999999997
134909:300532,4.602079999999999
134894:303593,3.9446399999999997
134911:300611,4.602079999999999
134896:303251,3.9446399999999997
134913:300134,4.602079999999999
134898:303424,3.9446399999999997
