trip_id,co2_emission
135678:301497,3.9446399999999997
135540:303287,3.506346666666666
135697:300016,4.382933333333333
135542:299214,4.163786666666666
135715:301415,4.382933333333333
135544:301575,4.163786666666666
135732:301070,4.382933333333333
135546:299462,4.163786666666666
135001:301100,4.382933333333333
134985:300985,4.163786666666666
135003:300864,4.382933333333333
134987:299566,4.163786666666666
135005:301705,4.382933333333333
134989:300538,4.163786666666666
135007:300606,4.382933333333333
134991:300689,4.163786666666666
135009:301755,4.382933333333333
134993:301621,4.163786666666666
135011:300353,4.382933333333333
134995:300720,4.163786666666666
135013:301626,4.382933333333333
134997:301668,4.163786666666666
135015:301335,4.382933333333333
134999:300969,4.163786666666666
