time,soc
06:10:00,0
06:27:00,0
06:27:00,0
06:39:00,0
07:00:00,0
07:23:00,0
07:27:00,0
07:41:00,0
08:00:00,0
08:23:00,0
08:27:00,0
08:41:00,0
09:00:00,0
09:23:00,0
09:27:00,0
09:41:00,0
10:00:00,0
10:23:00,0
10:27:00,0
10:41:00,0
11:00:00,0
11:25:00,0
11:27:00,0
11:41:00,0
12:00:00,0
12:25:00,0
12:27:00,0
12:42:00,0
13:00:00,0
13:25:00,0
13:27:00,0
13:42:00,0
14:00:00,0
14:25:00,0
14:27:00,0
14:42:00,0
15:00:00,0
15:25:00,0
15:27:00,0
15:42:00,0
16:00:00,0
16:25:00,0
16:27:00,0
16:42:00,0
17:00:00,0
17:25:00,0
17:25:00,0
17:40:00,0
18:00:00,0
18:21:00,0
18:27:00,0
18:41:00,0
19:10:00,0
19:31:00,0
19:37:00,0
19:51:00,0
19:55:00,0
20:16:00,0
20:22:00,0
20:34:00,0
20:40:00,0
21:01:00,0
21:07:00,0
21:19:00,0
21:25:00,0
21:46:00,0
21:52:00,0
22:04:00,0
22:10:00,0
22:31:00,0
22:37:00,0
22:49:00,0
