time,soc
06:20:00,0
06:39:00,0
06:40:00,0
06:55:00,0
07:15:00,0
07:34:00,0
07:37:00,0
07:55:00,0
08:15:00,0
08:36:00,0
08:37:00,0
08:55:00,0
09:15:00,0
09:36:00,0
09:37:00,0
09:55:00,0
10:15:00,0
10:36:00,0
10:37:00,0
10:55:00,0
11:15:00,0
11:36:00,0
11:37:00,0
11:55:00,0
12:15:00,0
12:36:00,0
12:37:00,0
12:55:00,0
13:15:00,0
13:36:00,0
13:37:00,0
13:55:00,0
14:15:00,0
14:36:00,0
14:37:00,0
14:55:00,0
15:15:00,0
15:36:00,0
15:37:00,0
15:55:00,0
16:15:00,0
16:36:00,0
16:37:00,0
16:55:00,0
17:15:00,0
17:36:00,0
17:40:00,0
17:58:00,0
