time,soc
06:10:00,0
06:29:00,0
06:45:00,0
07:14:00,0
07:15:00,0
07:44:00,0
07:45:00,0
08:14:00,0
08:15:00,0
08:44:00,0
08:45:00,0
09:14:00,0
09:15:00,0
09:44:00,0
09:45:00,0
10:14:00,0
10:15:00,0
10:44:00,0
10:45:00,0
11:14:00,0
11:15:00,0
11:44:00,0
11:45:00,0
12:14:00,0
12:15:00,0
12:44:00,0
12:45:00,0
13:14:00,0
13:15:00,0
13:44:00,0
13:45:00,0
14:14:00,0
14:15:00,0
14:44:00,0
14:45:00,0
15:14:00,0
15:15:00,0
15:44:00,0
15:45:00,0
16:14:00,0
16:15:00,0
16:44:00,0
16:45:00,0
17:14:00,0
17:15:00,0
17:44:00,0
17:45:00,0
18:14:00,0
18:25:00,0
18:43:00,0
18:48:00,0
19:09:00,0
19:10:00,0
19:32:00,0
19:33:00,0
19:54:00,0
19:55:00,0
20:17:00,0
20:18:00,0
20:39:00,0
20:40:00,0
21:02:00,0
21:03:00,0
21:24:00,0
21:25:00,0
21:47:00,0
21:48:00,0
22:09:00,0
22:10:00,0
22:32:00,0
22:33:00,0
22:54:00,0
22:55:00,0
23:14:00,0
