time,soc
06:45:00,0
07:04:00,0
07:07:00,0
07:25:00,0
07:45:00,0
08:06:00,0
08:07:00,0
08:25:00,0
08:45:00,0
09:06:00,0
09:07:00,0
09:25:00,0
09:45:00,0
10:06:00,0
10:07:00,0
10:25:00,0
10:45:00,0
11:06:00,0
11:07:00,0
11:25:00,0
11:45:00,0
12:06:00,0
12:07:00,0
12:25:00,0
12:45:00,0
13:06:00,0
13:07:00,0
13:25:00,0
13:45:00,0
14:06:00,0
14:07:00,0
14:25:00,0
14:45:00,0
15:06:00,0
15:07:00,0
15:25:00,0
15:45:00,0
16:06:00,0
16:07:00,0
16:25:00,0
16:45:00,0
17:06:00,0
17:07:00,0
17:25:00,0
17:45:00,0
18:06:00,0
18:06:00,0
18:24:00,0
