time,soc
06:30:00,0
06:48:00,0
06:53:00,0
07:09:00,0
07:30:00,0
07:50:00,0
07:51:00,0
08:10:00,0
08:30:00,0
08:50:00,0
08:51:00,0
09:10:00,0
09:30:00,0
09:50:00,0
09:51:00,0
10:10:00,0
10:30:00,0
10:50:00,0
10:51:00,0
11:10:00,0
11:30:00,0
11:50:00,0
11:51:00,0
12:10:00,0
12:30:00,0
12:50:00,0
12:51:00,0
13:10:00,0
13:30:00,0
13:50:00,0
13:51:00,0
14:10:00,0
14:30:00,0
14:50:00,0
14:51:00,0
15:10:00,0
15:30:00,0
15:50:00,0
15:51:00,0
16:10:00,0
16:30:00,0
16:50:00,0
16:51:00,0
17:10:00,0
17:30:00,0
17:50:00,0
17:51:00,0
18:10:00,0
