trip_id,co2_emission
135560:303278,3.7254933333333327
135513:299639,4.163786666666666
135574:302907,4.163786666666666
135521:300248,4.163786666666666
135588:303506,4.163786666666666
135531:300742,4.163786666666666
135602:303075,4.163786666666666
134927:301490,4.163786666666666
134944:303367,4.163786666666666
134929:299471,4.163786666666666
134946:303271,4.163786666666666
134931:300345,4.163786666666666
134948:303486,4.163786666666666
134933:301602,4.382933333333333
134950:303098,4.163786666666666
134935:301327,4.382933333333333
134952:302902,4.163786666666666
134937:299669,4.382933333333333
134954:303598,4.163786666666666
134939:299961,4.382933333333333
134956:303716,4.163786666666666
134941:300011,4.382933333333333
134958:303176,3.9446399999999997
134959:300029,4.163786666666666
