trip_id,co2_emission
135668:304152,2.3879673642299997
135662:299693,1.911319684659148
135680:304458,2.2563231947930147
135663:301601,1.8210985516047673
135691:304068,2.1314725409183146
135664:300562,1.735533292593828
135700:304079,2.013064822296172
135665:299535,1.6543836406026895
137412:304277,1.9007675503622092
137414:300705,1.5774217276206826
137413:303962,1.794265394670373
137415:299170,1.5044314447973253
137410:303846,1.693259297445872
137416:299124,1.4352078356092453
137411:304542,1.5974656338317237
137417:301761,1.3695565203427869
135261:304247,1.5066154154709006
135260:301246,1.3072931502762921
135262:304360,1.420453535187723
135251:300545,1.2482428900293678
135252:304493,1.3387380506475755
135259:301320,1.192239926625593
135231:304063,1.2612395049834713
135240:299966,1.1391270038901204
135242:304475,1.1877402824817611
135258:301053,1.0887549808747423
135232:303882,1.1180339975177864
135250:301570,1.0409824130705
135243:304252,1.051924915025573
135257:300216,0.9956751552318766
135233:303890,0.9892274008742891
135239:301271,0.952705984697291
135244:304383,0.9297654006080873
135256:301199,0.9119542441481991
135234:304325,0.8733719450856503
135249:299737,0.8733055028036654
135245:304201,0.8198886816312796
135255:301297,0.836651235099018
135235:304433,0.7691654293809979
135238:301358,0.801888515946354
135246:304155,0.7210597575750776
135254:301523,0.7689197317211611
135236:304447,0.6754365856128256
135248:301729,0.7376523061635152
135247:304215,0.6321678037466345
135253:300578,0.7079984404241798
135237:304546,0.5911319133501242
135241:300312,0.6798748665256735
135221:304046,0.5522136857503263
135210:299548,0.6532026135460016
135222:303955,0.5153038386658697
135211:299586,0.6279067858685206
135223:303989,0.4802987293426297
135212:300064,0.6039163528752284
135224:304523,0.44710006352511816
135213:299557,0.5811639494929935
135225:304417,0.4156146194465049
135214:299694,0.5595856870325913
135226:303937,0.3857539860621144
135215:301401,0.5391209737894368
135230:303869,0.3574343147914561
135227:301001,0.5197123449022392
