trip_id,co2_emission
135553:301373,4.163786666666666
135687:299217,6.355253333333333
135571:300291,6.355253333333333
135705:300033,6.355253333333333
135585:300370,6.355253333333333
135722:301285,6.355253333333333
135599:300987,6.355253333333333
135378:300796,6.355253333333333
135349:299606,6.355253333333333
135382:300792,6.355253333333333
135353:299884,6.355253333333333
135386:300458,6.355253333333333
135357:299306,6.355253333333333
135390:300849,6.355253333333333
135361:300855,6.355253333333333
135394:301081,6.355253333333333
135365:300329,6.355253333333333
135398:301704,6.355253333333333
135369:300595,6.355253333333333
135402:301459,6.355253333333333
135373:299224,6.355253333333333
135406:299496,6.355253333333333
135424:303663,3.9446399999999997
135427:299498,4.163786666666666
