trip_id,co2_emission
135670:301733,3.506346666666666
135539:303445,3.506346666666666
135688:300783,3.9446399999999997
135541:303397,3.506346666666666
135706:300669,4.382933333333333
135543:299322,4.163786666666666
135723:299646,4.382933333333333
135545:301063,4.163786666666666
135000:300554,4.382933333333333
134984:303230,3.506346666666666
135002:301579,4.382933333333333
134986:299618,4.163786666666666
135004:301119,4.382933333333333
134988:301076,4.163786666666666
135006:301430,4.382933333333333
134990:299921,4.163786666666666
135008:300982,4.382933333333333
134992:299767,4.163786666666666
135010:300366,4.382933333333333
134994:299267,4.163786666666666
135012:300646,4.382933333333333
134996:300138,4.163786666666666
135014:299816,4.382933333333333
134998:300470,4.163786666666666
135016:304460,3.7254933333333327
135018:301051,4.163786666666666
135019:303894,3.7254933333333327
135017:303280,3.506346666666666
135021:304263,3.7254933333333327
135029:303018,3.506346666666666
135024:304220,3.7254933333333327
135026:303446,3.506346666666666
135025:304509,3.7254933333333327
135022:303201,3.506346666666666
135027:303900,3.7254933333333327
135028:303034,3.506346666666666
135023:303843,3.7254933333333327
135020:303617,3.506346666666666
