trip_id,energy_consumed
135671:304011,0
135639:300527,0
135682:303956,0
135640:299636,0
135690:304282,0
135641:299317,0
135699:303163,0
135642:301643,0
135708:303600,0
135643:299934,0
135717:303158,0
135644:301437,0
135725:303354,0
135645:300853,0
135620:303648,0
135646:299316,0
134793:302917,0
134809:301485,0
134794:303441,0
134810:301269,0
134795:303407,0
134811:299929,0
134796:303526,0
134812:299268,0
134797:303556,0
134813:299536,0
134798:303036,0
134814:299274,0
134799:302927,0
134815:300706,0
134800:303047,0
134816:300922,0
134801:303430,0
134817:301261,0
134802:303106,0
134818:301471,0
134803:303512,0
134819:299148,0
134804:303167,0
134820:299344,0
134805:302969,0
134821:301788,0
134806:303108,0
134822:300467,0
134807:302935,0
134823:299191,0
134808:303124,0
134824:299229,0
