trip_id,energy_consumed
135552:303006,4.394249304615384
135626:304538,6.094087343438322
135576:304128,4.263855369295361
135632:303958,5.448207467643103
135597:304272,3.714929577751595
135177:304439,4.876830894040473
135162:304275,3.2293232758859087
135180:304305,4.371363544620543
135165:303874,2.799732456790886
135183:304437,3.9242026823565332
135168:304385,2.784761221187815
135186:303965,3.9079252205717334
135171:304237,2.406490583499567
135189:304184,3.5141835086930637
135174:304345,2.071854083808836
135192:304501,3.1658605485750173
135199:304191,3.2345726318307166
135201:304527,3.1977439836493375
135194:303916,3.0144330279825273
135202:304042,2.971744983966173
135198:304384,2.809562071701596
135200:304398,2.76142103328098
135195:304114,2.618900745916671
135203:304182,2.5656849269537707
135197:303985,2.4414634858483533
135193:304100,2.383524867696029
135196:304211,2.27633308443665
135204:304462,2.2139992353974414
