trip_id,energy_consumed
139317:304374,0
139304:304455,0
139319:304474,0
139307:304119,0
139323:304399,0
139311:304255,0
139327:304045,0
139315:304456,0
139289:304332,0
139274:304446,0
139291:303859,0
139276:303880,0
139293:304409,0
139278:304116,0
139295:303887,0
139280:304376,0
139297:304415,0
139282:304343,0
139299:304500,0
139284:304517,0
139301:304230,0
139286:304179,0
139303:304313,0
139288:304297,0
139263:304440,0
139269:304189,0
139265:303870,0
139259:304118,0
139267:304349,0
139261:304555,0
