trip_id,energy_consumed
135548:300726,7.441005679999998
135684:300583,7.913759827770743
135566:299932,7.9052065027090475
135702:301139,7.215804023864403
135580:300712,7.181539682379016
135719:299729,6.580572277954099
135594:300374,6.522907523777045
135618:299265,6.002427689494736
135348:301540,5.923465476472933
135381:300701,5.476239936258548
135352:300200,5.377894229483007
135385:299631,4.997339749034516
135356:301333,4.881352508926761
135389:299288,4.561477477606344
135360:301628,4.4294341176749
135393:299908,4.164785380332942
135364:299339,4.018128835768514
135397:299999,3.8037433026978684
135368:301419,3.643786834648649
135401:301065,3.475147440267032
135372:300404,3.3030862894163557
135405:300414,3.1760819088643335
135376:301129,2.9930039017218752
135409:299212,2.9038928696855466
135423:303465,2.316920664538169
135416:299896,2.458549423544139
135411:300610,2.2592161085338347
135413:299445,2.26765233238079
135421:301152,2.073976651931608
135410:300060,2.0919750253208367
135418:300812,1.9035059092984388
135420:300124,1.930304064135639
135415:301795,1.7466264051855172
135417:299291,1.7815227552234665
135412:299827,1.6022545415415808
135414:299198,1.6446034363838722
135422:303096,1.3492546330848758
