trip_id,energy_consumed
135562:302968,5.543126996923077
135628:304280,7.266687727884391
135583:304187,5.349630081501195
135634:304311,6.650834280586829
135604:304094,4.818664081044082
135178:303990,6.090961724148104
135163:304106,4.3359627283725315
135181:304491,5.581981412632887
135166:304281,4.262204360158858
135184:304229,5.072225949651869
135169:304239,3.849198248178418
135187:304559,5.068022860705087
135172:303959,3.4546517469335427
135190:303871,4.6519966780573325
135175:303970,3.0959694025296254
