trip_id,energy_consumed
135548:300726,0
135684:300583,0
135566:299932,0
135702:301139,0
135580:300712,0
135719:299729,0
135594:300374,0
135618:299265,0
135348:301540,0
135381:300701,0
135352:300200,0
135385:299631,0
135356:301333,0
135389:299288,0
135360:301628,0
135393:299908,0
135364:299339,0
135397:299999,0
135368:301419,0
135401:301065,0
135372:300404,0
135405:300414,0
135376:301129,0
135409:299212,0
135423:303465,0
135416:299896,0
135411:300610,0
135413:299445,0
135421:301152,0
135410:300060,0
135418:300812,0
135420:300124,0
135415:301795,0
135417:299291,0
135412:299827,0
135414:299198,0
135422:303096,0
