trip_id,energy_consumed
135613:299416,0
135508:299297,0
135614:299408,0
135512:301427,0
135616:300118,0
135518:299645,0
135617:300976,0
135523:301650,0
135619:299750,0
135528:301477,0
135621:299389,0
135533:301275,0
135623:299491,0
135538:300015,0
134867:301109,0
134851:301329,0
134868:299111,0
134852:300074,0
134869:301005,0
134853:300710,0
134870:300829,0
134854:301394,0
134871:299534,0
134855:300070,0
134872:300151,0
134856:299109,0
134873:299186,0
134857:300717,0
134874:300869,0
134858:300771,0
134875:301426,0
134859:300557,0
134876:301375,0
134860:301595,0
134877:300933,0
134861:300908,0
134878:299881,0
134862:301345,0
134879:299681,0
134863:301407,0
134880:300658,0
134864:300536,0
134881:301096,0
134865:300252,0
134882:299292,0
134866:300917,0
134844:299510,0
134831:300553,0
134845:301325,0
134832:300655,0
134846:300547,0
134833:300183,0
134847:299163,0
134834:299243,0
134848:300408,0
134835:301764,0
134849:299452,0
134836:300321,0
134850:301183,0
134837:299370,0
