trip_id,energy_consumed
135673:303276,10.698192266857141
135625:301082,9.818692731291817
135698:303203,9.312684927887378
135631:301501,8.215520628831712
135724:303071,7.898627220590485
135637:300063,6.92716520981977
135133:303026,6.70258202445406
135118:301751,5.837442137080968
135136:303681,5.690937235263953
135121:301434,4.915727245572226
135139:301067,5.380025675255735
135124:303884,4.796003984763168
135142:301222,4.559092059212212
135127:304143,4.048047046781787
135145:299257,3.864725978712778
135130:303858,3.415406456533454
135105:303273,3.550344314883891
135110:300871,2.4651102293053024
135107:303349,3.0650579098620048
135112:301252,2.0229632317277155
135101:302871,-0.5133244581489559
135094:300804,0.4815375463261256
135102:303146,-0.5117046491374112
135095:299329,0.48301513102182175
135114:303228,-0.5102426782407246
135115:300953,0.48434873628460356
