trip_id,energy_consumed
135613:299416,3.443147777199999
135508:299297,4.010658196946389
135614:299408,3.2317835892847544
135512:301427,3.791285952049044
135616:300118,3.0326335986054893
135518:299645,3.584590669572364
135617:300976,2.8449919778619828
135523:301650,3.389839780196605
135619:299750,2.668193687713152
135528:301477,3.20634304791425
135621:299389,2.5016121197449364
135533:301275,3.0334501236958826
135623:299491,2.3446568756450676
135538:300015,2.8705482405234815
134867:301109,2.1967716747136556
134851:301329,2.717060041621842
134868:299111,2.0574323822934018
134852:300074,2.5724415341909816
134869:301005,1.926145152131799
134853:300710,2.4361801613871172
134870:300829,1.802444676091486
134854:301394,2.3077929857189523
134871:299534,1.6858925350053735
134855:300070,2.186824977420852
134872:300151,1.5760756448316449
134856:299109,2.0728474017365732
134873:299186,1.4726047926014945
134857:300717,1.9654562993977447
134874:300869,1.3751132569707138
134858:300771,1.8642710549116268
134875:301426,1.2832555084860806
134859:300557,1.7689330475838678
134876:301375,1.19670598496004
134860:301595,1.6791043804952086
134877:300933,1.115157937613355
134861:300908,1.5944666829273941
134878:299881,1.0383223438962355
134862:301345,1.5147199819938209
134879:299681,0.9659268831347548
134863:301407,1.4395816394757786
134880:300658,0.8977149713720539
134864:300536,1.3687853500962177
134881:301096,0.8334448519835956
134865:300252,1.3020801976807124
134882:299292,0.7728887388434696
134866:300917,1.239229765860474
134844:299510,0.7181543186048995
134831:300553,1.1799409578300286
134845:301325,0.664330893621615
134832:300655,1.124078298771713
134846:300547,0.6136177870661859
134833:300183,1.0714438002764257
134847:299163,0.5658352615709965
134834:299243,1.0218509151801707
134848:300408,0.5208139663323983
134835:301764,0.975123876403677
134849:299452,0.47839433689767774
134836:300321,0.9310970739988197
134850:301183,0.43842602963680016
134837:299370,0.8989945409211683
