trip_id,energy_consumed
135547:300795,0
135498:301236,0
135563:304329,0
135500:299532,0
135577:304221,0
135502:300903,0
135591:304197,0
135504:300921,0
134762:303919,0
134746:300212,0
134764:301362,0
134748:299405,0
134766:301312,0
134750:300585,0
134768:301150,0
134752:299885,0
134770:300050,0
134754:300791,0
134772:299826,0
134756:300615,0
134774:299846,0
134758:299429,0
134776:301684,0
134760:299512,0
134779:304420,0
134778:304356,0
134784:303926,0
134788:304064,0
134780:303979,0
134789:299784,0
134783:303907,0
134787:301504,0
134781:304378,0
134790:301147,0
134786:304081,0
134782:299855,0
