trip_id,energy_consumed
135550:303239,0
135509:299623,0
135567:303328,0
135516:300112,0
135581:303165,0
135526:300071,0
135595:303622,0
135536:299204,0
134943:302981,0
134928:299702,0
134945:303247,0
134930:299925,0
134947:303699,0
134932:300358,0
134949:302993,0
134934:300311,0
134951:303484,0
134936:300058,0
134953:303377,0
134938:301649,0
134955:303565,0
134940:300711,0
134957:303618,0
134942:299869,0
134962:302947,0
134970:299205,0
134971:299487,0
134968:300537,0
134967:301391,0
134969:301717,0
134961:299258,0
134965:300834,0
134963:300728,0
134960:301300,0
134966:300686,0
134964:300673,0
