trip_id,energy_consumed
135549:303139,1.961139329230769
135506:301503,1.9832865219489944
135558:302940,1.8726497452095836
135510:299123,1.9328890454487202
135565:303497,1.822720307480431
135514:300437,1.8838028518514554
135572:303612,1.7740899748374392
135519:301198,1.8359938231225073
135579:303467,1.7267249460983463
135524:300187,1.789428728938208
135586:302908,1.6805922995477904
135529:301793,1.7440752035887206
135593:303339,1.6356599700546182
135534:301767,1.699901723481811
135600:302976,1.5918967267845732
137409:299228,1.656877585231935
134689:303333,1.5492721514928742
134674:299474,1.6149728843194335
134690:302928,1.5077566173815955
134675:301736,1.5741584943049787
134691:303136,1.4673212685071542
134676:301550,1.534406046584846
134692:303649,1.4279379997235884
134677:299369,1.495687910672923
134693:303655,1.3895794371476888
134678:301381,1.4579771749957613
134694:302916,1.3522189191324046
134679:299465,1.4212476281873154
134695:303386,1.3158304777352978
134680:299221,1.38547374087037
134696:302954,1.2803888206691674
134681:300338,1.3506306479120012
134697:303630,1.2458693137222974
134682:300451,1.3166941311407172
134698:303334,1.21224796363611
134683:300082,1.2836406025132887
134699:303564,1.1795014014283176
134684:299773,1.251447087719548
134700:303513,1.1476068661499919
134685:300608,1.2200912102137942
134701:303095,1.116542189065256
134686:299407,1.1895511756616408
134702:302977,1.086285778242592
134687:300961,1.1598057567915914
134703:303149,1.0568166035470783
134688:301342,1.130834278640717
134704:303088,1.0281141820230983
