trip_id,energy_consumed
135550:303239,4.558479346666668
135509:299623,4.095153934199251
135567:303328,4.273497895461192
135516:300112,4.305159514423423
135581:303165,4.089282579941901
135526:300071,4.040331655230388
135595:303622,3.8215581239492074
135536:299204,3.7923047564768297
134943:302981,3.5708183915710174
134928:299702,3.560012947402217
134945:303247,3.3359858539159504
134930:299925,3.342457977218231
134947:303699,3.116051341669039
134932:300358,3.165001709742107
134949:302993,2.909203702579966
134934:300311,2.9733726773941687
134951:303484,2.7154786972346576
134936:300058,2.7939007942273784
134953:303377,2.5340438118218302
134938:301649,2.625814797795737
134955:303565,2.3641193480899036
134940:300711,2.4683923553613316
134957:303618,2.204975072671848
134942:299869,2.294660175225616
134962:302947,1.9704114507486967
134970:299205,2.1601056955693787
134971:299487,1.771451210146756
134968:300537,2.0360729383078464
134967:301391,1.6460618248898478
134969:301717,1.9199089507984843
134961:299258,1.52862727530488
134965:300834,1.8111145299373754
134963:300728,1.4186428981746415
134960:301300,1.7092221425952967
134966:300686,1.3156360466520054
134964:300673,1.6137939164409245
